k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
40,12,10,3.0,10,0.22,2.6,0.6701146685022076,0.2388981199785061
40,12,10,3.0,10,0.22,2.2,0.6702724063552706,0.23896860865294436
40,12,10,3.0,14,0.22,2.6,0.6703181174478186,0.2390266615934545
40,12,10,3.0,14,0.22,2.2,0.6704003403194329,0.23906425502061987
40,12,10,3.0,14,0.22,1.8,0.6705296648037393,0.23912271068111435
40,12,10,3.0,10,0.22,1.8,0.6705379897873791,0.23908788509835774
40,12,10,3.0,14,0.18,2.6,0.6705515793948305,0.23913105720112612
40,12,10,3.0,10,0.18,2.6,0.6705721189354398,0.23910401098918124
40,12,10,3.0,14,0.18,2.2,0.6706428783948267,0.2391716303997704
40,12,10,3.0,10,0.18,2.2,0.6707549525251315,0.239184862199176
40,12,10,3.0,6,0.22,2.6,0.6707875219936443,0.2391917585454419
40,12,10,3.0,14,0.18,1.8,0.6707977007971947,0.2392403732067779
40,12,10,3.0,14,0.15,2.6,0.6707997339355637,0.23924128901589978
40,12,10,2.5,10,0.22,2.6,0.6708654455266675,0.2392222041454302
40,12,15,3.0,10,0.22,2.6,0.6708672450632741,0.23930591111375615
40,12,10,3.0,14,0.15,2.2,0.6709037523668138,0.2392867085190813
40,12,10,3.0,6,0.22,2.2,0.6709933136209117,0.2392744282038664
40,12,10,3.0,10,0.15,2.6,0.6710096575701495,0.23929932764308887
40,12,10,3.0,10,0.18,1.8,0.6710386268607833,0.23931126897681543
40,12,10,2.5,14,0.22,2.6,0.6710407180226603,0.2393312377120024
40,12,15,3.0,14,0.22,2.6,0.6710484516558823,0.23943172821104938
40,12,10,2.5,10,0.22,2.2,0.6710576688457927,0.23930988205079934
40,12,10,3.0,14,0.15,1.8,0.6710630135903852,0.23935644726163943
40,12,15,3.0,10,0.22,2.2,0.6711196093296663,0.23941553277659722
40,12,10,3.0,6,0.18,2.6,0.6711377325505989,0.2393235715381926
40,12,10,2.5,14,0.22,2.2,0.671162139158866,0.23938756974386483
40,12,10,3.0,10,0.15,2.2,0.671199462908879,0.2393827999426961
40,12,15,3.0,14,0.22,2.2,0.6712254699363225,0.23951015878485515
40,12,10,3.0,6,0.22,1.8,0.6712575062335077,0.23937805758874403
36,12,10,3.0,10,0.22,2.6,0.6713151788869895,0.23942494513319507
40,12,10,3.0,6,0.18,2.2,0.671329832960416,0.23939819094654766
40,12,10,2.5,14,0.22,1.8,0.6713395174967379,0.23946915354430068
40,12,10,2.5,10,0.22,1.8,0.6713447862538139,0.23944044359047537
40,12,10,2.5,14,0.18,2.6,0.6713603188567654,0.23947760668532442
40,12,10,2.5,10,0.18,2.6,0.6713706981619649,0.23945287399997942
40,12,15,3.0,14,0.18,2.6,0.6714450705723137,0.23960176250232038
40,12,10,3.0,6,0.15,2.6,0.6714548712672923,0.23944095046383332
40,12,15,3.0,14,0.22,1.8,0.6714584692868267,0.2396113467624206
40,12,10,2.5,6,0.22,2.6,0.6714710625214876,0.23949179682077393
36,12,10,3.0,10,0.22,2.2,0.6714736169178976,0.23949611564114884
40,12,10,3.0,10,0.15,1.8,0.6714740899320902,0.23950422612012004
40,12,15,2.5,10,0.22,2.6,0.6714764071107474,0.23955987986690716
40,12,15,3.0,10,0.18,2.6,0.6714774768342618,0.23956937940821654
40,12,10,2.5,14,0.18,2.2,0.6714806597535332,0.23953210862966048
40,16,10,3.0,10,0.22,2.6,0.6714816048584873,0.23958095329424092
36,12,10,3.0,14,0.22,2.6,0.6714983783168199,0.23953857938073625
40,12,15,3.0,10,0.22,1.8,0.6715005512004997,0.23958148121528608
40,12,10,2.5,10,0.18,2.2,0.6715647555181511,0.23953995575579035
40,12,10,3.0,6,0.18,1.8,0.6715794512909745,0.2394930612099879
36,12,10,3.0,14,0.22,2.2,0.6715837251057121,0.23957728538749795
40,12,15,3.0,14,0.18,2.2,0.6716069143102705,0.23967141952538107
40,12,15,2.5,14,0.22,2.6,0.6716224343495749,0.2396612924902793
40,16,10,3.0,14,0.22,2.6,0.6716237833071433,0.23968498643634284
40,12,10,3.0,6,0.15,2.2,0.6716457552514739,0.23951421516024665
40,12,10,2.5,14,0.15,2.6,0.6716596540474322,0.23961297117643748
40,12,10,2.5,14,0.18,1.8,0.6716677454120057,0.2396166265198351
40,12,10,2.5,6,0.22,2.2,0.6716865711036063,0.23958211707488564
36,12,10,3.0,14,0.22,1.8,0.6717039084820765,0.23963115777040483
36,12,10,3.0,14,0.18,2.6,0.6717276958877846,0.23964112718809688
36,12,10,3.0,10,0.22,1.8,0.6717282569969053,0.23961077290632887
40,16,10,3.0,10,0.22,2.2,0.6717292631763994,0.2396887039230715
40,12,15,3.0,10,0.18,2.2,0.6717475554509409,0.23968592230168193
40,12,10,2.0,10,0.22,2.6,0.6717505328349166,0.23961515181546444
36,12,10,3.0,10,0.18,2.6,0.6717547407813563,0.23962364758392557
40,12,15,2.5,10,0.22,2.2,0.6717578250985051,0.2396848522087826
36,12,15,3.0,10,0.22,2.6,0.671783808849,0.2396873053618382
40,12,10,2.5,14,0.15,2.2,0.6717848802915691,0.2396688600470839
40,16,10,3.0,14,0.22,2.2,0.6717909291590879,0.2397586412378194
40,12,15,3.0,14,0.15,2.6,0.6718131071602467,0.23975832112601572
36,12,10,3.0,14,0.18,2.2,0.6718156912488273,0.23967992942348124
40,12,10,2.5,10,0.15,2.6,0.6718252265839763,0.23965841080006572
40,12,15,2.5,14,0.22,2.2,0.6718348114428732,0.23975697075228378
40,12,15,3.0,14,0.18,1.8,0.6718508239634196,0.23977611402075494
40,12,10,2.5,10,0.18,1.8,0.6718619465118814,0.23967433698211862
40,12,10,2.5,6,0.18,2.6,0.6718717871515454,0.23965431783844904
40,12,10,2.0,14,0.22,2.6,0.6718910627773353,0.23970170274423444
40,12,10,3.0,6,0.15,1.8,0.6719005364069847,0.23961205190022478
36,12,10,3.0,10,0.18,2.2,0.6719285693165536,0.2397007313415922
36,12,15,3.0,14,0.22,2.6,0.671939809355605,0.23979422550972093
40,12,15,3.0,6,0.22,2.6,0.6719567108498719,0.2397847202093785
36,12,10,3.0,14,0.18,1.8,0.6719617499558149,0.2397445565443452
36,12,10,3.0,14,0.15,2.6,0.6719625624640521,0.23974528801910905
40,12,10,2.5,14,0.15,1.8,0.6719683541513182,0.23975082844300966
40,12,10,2.0,10,0.22,2.2,0.6719696689955843,0.23971637229963813
40,12,10,2.5,6,0.22,1.8,0.6719795932024952,0.239704100454606
40,12,15,3.0,14,0.15,2.2,0.6719815165727796,0.23982986656724262
40,16,10,3.0,14,0.18,2.6,0.6720044571729034,0.2398483416860943
36,12,10,3.0,6,0.22,2.6,0.6720144864590621,0.23973847496664555
40,16,10,3.0,14,0.22,1.8,0.6720170280722553,0.23985671450452417
36,12,15,3.0,10,0.22,2.2,0.6720188136956451,0.239790476554802
40,12,10,2.5,10,0.15,2.2,0.6720269575568264,0.23974878112852188
40,12,15,3.0,10,0.15,2.6,0.6720459280129736,0.23981367864095468
40,12,10,2.0,14,0.22,2.2,0.67204781317751,0.2397750753895229
36,12,10,3.0,14,0.15,2.2,0.6720603634809226,0.23978782501552695
40,16,10,3.0,10,0.18,2.6,0.6720870233438397,0.23984397616239356
36,12,10,2.5,10,0.22,2.6,0.6720914661678304,0.23976931138013355
40,12,10,2.5,6,0.18,2.2,0.6720939013690872,0.23974708182174834
40,12,15,2.5,14,0.18,2.6,0.6720955120583321,0.23987001895634302
36,12,15,3.0,14,0.22,2.2,0.6720991799800077,0.23986489174121098
40,16,10,3.0,10,0.22,1.8,0.6721034429463455,0.23985197666144278
40,12,20,3.0,10,0.22,2.6,0.6721038401420276,0.23992663148239884
40,12,15,2.5,14,0.22,1.8,0.6721044136786963,0.2398766652751212
40,16,10,2.5,10,0.22,2.6,0.6721098342900846,0.23984620192020775
40,12,15,3.0,10,0.18,1.8,0.6721242973855074,0.23984840731582704
40,12,15,2.5,10,0.18,2.6,0.6721289541303435,0.23984735516635078
40,12,15,2.5,10,0.22,1.8,0.6721498745507771,0.23985814648590997
40,16,10,3.0,14,0.18,2.2,0.6721632039229771,0.23991659877852986
36,12,10,3.0,10,0.15,2.6,0.6721678648475976,0.2398088649231459
36,12,10,3.0,10,0.18,1.8,0.6722014808482305,0.23982312908699624
36,12,10,3.0,6,0.22,2.2,0.6722077001621855,0.23981663589075738
36,12,10,3.0,14,0.15,1.8,0.6722103349859068,0.23985349510026083
40,12,15,2.0,10,0.22,2.6,0.6722201566461351,0.23988226676120578
40,12,15,3.0,14,0.15,1.8,0.6722240509721232,0.239932886468606
40,16,10,2.5,14,0.22,2.6,0.67222618645416,0.23993082926194634
36,12,10,2.5,14,0.22,2.6,0.672243453381009,0.2398628602844277
40,12,10,2.5,6,0.15,2.6,0.6722525683089899,0.23980912718605243
40,12,15,3.0,6,0.22,2.2,0.6722544836349227,0.23990201182085458
40,12,10,2.0,6,0.22,2.6,0.6722718071819592,0.2398512574076254
36,12,10,2.5,10,0.22,2.2,0.6722786349444242,0.23985485269591636
40,12,10,2.0,14,0.22,1.8,0.6722809960434825,0.23988345593968305
40,12,15,2.5,14,0.18,2.2,0.6722846999098377,0.2399532798856519
40,12,10,2.0,10,0.22,1.8,0.6722876687518556,0.23986280578230815
36,12,15,3.0,14,0.18,2.6,0.6722971305438481,0.23994858211272396
40,12,10,2.0,14,0.18,2.6,0.6723005981424752,0.23989182553828547
36,12,15,3.0,14,0.22,1.8,0.672302908546615,0.23995366323161837
40,12,20,3.0,14,0.22,2.6,0.6723047155066288,0.24006790503662995
40,12,15,3.0,10,0.15,2.2,0.6723058732472321,0.23992487163611537
40,12,10,2.5,10,0.15,1.8,0.6723079690074987,0.2398749374708502
40,12,10,2.0,10,0.18,2.6,0.6723134820573805,0.23987535384064082
40,12,15,2.0,14,0.22,2.6,0.672338418394797,0.2399631265760799
40,16,15,3.0,10,0.22,2.6,0.6723410125308961,0.240031429971737
36,12,15,3.0,10,0.18,2.6,0.6723471545016043,0.23993333616983117
36,12,10,3.0,10,0.15,2.2,0.6723493574640582,0.2398891950368622
40,16,10,3.0,10,0.18,2.2,0.6723509194230093,0.2399578942759105
36,12,10,3.0,6,0.18,2.6,0.6723520024288712,0.23986776038833993
36,12,10,2.5,14,0.22,2.2,0.6723585579019251,0.23991596833208353
36,12,15,3.0,10,0.22,1.8,0.6723631090888457,0.2399415698361171
40,12,10,2.5,6,0.18,1.8,0.6723633261775822,0.23985638024016465
40,16,10,3.0,14,0.15,2.6,0.6723651761056115,0.24000239140599705
40,16,10,2.5,10,0.22,2.2,0.6723887533326974,0.2399702418117635
40,12,15,2.5,10,0.18,2.2,0.6723983861764975,0.23996523835274602
40,16,10,3.0,14,0.18,1.8,0.6724026321732559,0.2400194721699269
40,16,10,2.5,14,0.22,2.2,0.6724315736490935,0.24002311571125007
40,12,20,3.0,10,0.22,2.2,0.6724355455751487,0.24006834385918402
40,12,15,2.5,6,0.22,2.6,0.6724410627117227,0.23999085612042984
36,12,15,2.5,10,0.22,2.6,0.6724410994598328,0.23997211910407387
36,12,15,3.0,14,0.18,2.2,0.6724464086999209,0.2400132107952034
40,12,10,2.5,6,0.15,2.2,0.6724512310281241,0.23988982589479935
40,12,10,2.0,14,0.18,2.2,0.6724542802776209,0.239962443671108
40,12,15,3.0,6,0.18,2.6,0.672468051393352,0.23997247779943226
36,12,10,3.0,6,0.22,1.8,0.6724756639357728,0.23992470574737218
40,12,10,2.0,6,0.22,2.2,0.6724969763483053,0.23994919316139135
40,16,10,3.0,6,0.22,2.6,0.6725030511398045,0.24003197292807388
40,12,15,2.5,14,0.15,2.6,0.6725119313712072,0.24005157417923442
40,16,15,3.0,14,0.22,2.6,0.6725187733310256,0.24016031202952431
40,12,15,2.0,10,0.22,2.2,0.6725203875745135,0.24001770442517284
40,12,10,2.0,10,0.18,2.2,0.6725275591134473,0.2399730655013713
40,16,10,3.0,14,0.15,2.2,0.6725299429081428,0.24007238180442944
36,12,10,2.5,14,0.22,1.8,0.6725329172750253,0.23999590993492673
36,12,10,3.0,6,0.18,2.2,0.6725477724367844,0.23994642425353255
36,12,10,2.5,14,0.18,2.6,0.672554511511454,0.24000528321443523
36,12,10,2.5,10,0.22,1.8,0.672557225453629,0.23998201426487187
40,12,15,2.5,14,0.18,1.8,0.6725572827035058,0.24007271307296865
40,12,20,3.0,14,0.22,2.2,0.672560942282764,0.24017952643391993
36,12,15,2.5,14,0.22,2.6,0.6725727024209169,0.24006096887530223
40,12,15,2.0,14,0.22,2.2,0.6725777010004245,0.24007220350591144
36,16,10,3.0,10,0.22,2.6,0.6725813998907655,0.24005856060134537
36,12,10,2.5,10,0.18,2.6,0.672582858643201,0.2399946490483481
36,12,15,3.0,10,0.18,2.2,0.6725877395650792,0.24003779914713277
40,12,20,2.5,10,0.22,2.6,0.6725929346136913,0.24012329196168633
36,12,10,3.0,10,0.15,1.8,0.6726170311836156,0.24000866943729438
36,12,15,3.0,14,0.15,2.6,0.6726344576300336,0.2400933935825307
40,12,15,3.0,6,0.22,1.8,0.6726409573487737,0.24005151624323
40,16,10,3.0,10,0.15,2.6,0.6726443000948125,0.24008444283991048
40,12,15,3.0,10,0.15,1.8,0.6726478155228793,0.240070730008339
