Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1130,25,18,7,72.0%,97,51,46,→ 0,+5
2,TuskMammoth,1120,32,24,8,75.0%,116,77,39,→ 0,+1
3,FoxBrush,1080,22,14,8,63.6%,70,58,12,→ 0,-8
4,CobaltDragoon,1075,18,12,6,66.7%,65,40,25,→ 0,-6
5,SharkScale,1073,10,7,3,70.0%,40,21,19,▼ 1,-9
6,ValkyrieVolt,1071,5,4,1,80.0%,20,7,13,→ 0,+46
7,GolemRock,1065,24,15,9,62.5%,74,53,21,→ 0,-5
8,ScorpioSpear,1064,17,11,6,64.7%,56,36,20,▲ 1,+6
9,LeonCrest,1062,16,10,6,62.5%,54,39,15,→ 0,+2
10,WeissTiger,1056,13,8,5,61.5%,41,29,12,▲ 2,+9
11,DranSword,1042,19,11,8,57.9%,54,55,-1,▲ 1,-6
12,PerseusDark,1035,15,8,7,53.3%,45,40,5,▲ 1,+6
13,CerberusFlame,1035,22,11,11,50.0%,55,59,-4,▲ 1,+6
14,KnightMail,1026,17,8,9,47.1%,49,46,3,→ 0,-5
15,DranBrave,1017,20,11,9,55.0%,60,52,8,▲ 1,+5
16,LeonClaw,1017,14,8,6,57.1%,43,40,3,▼ 3,-8
17,HellsReaper,1016,16,8,8,50.0%,45,42,3,▲ 1,-6
18,WyvernHover,1016,5,3,2,60.0%,13,11,2,▼ 5,-21
19,WolfHunt,1005,2,1,1,50.0%,4,4,0,▲ 3,0
20,RhinoReaper,1002,16,8,8,50.0%,53,53,0,▼ 1,-4
21,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,→ 0,0
22,HellsBrave,1000,0,0,0,0.0%,0,0,0,→ 0,0
23,ClockMirage,1000,0,0,0,0.0%,0,0,0,→ 0,0
24,SolEclipse,999,13,6,7,46.2%,39,40,-1,▲ 5,+13
25,ViperTail,998,16,7,9,43.8%,43,49,-6,▼ 1,-6
26,HellsChain,997,16,8,8,50.0%,51,42,9,▲ 3,+6
27,PhoenixWing,994,18,8,10,44.4%,48,60,-12,▼ 3,-10
28,SharkEdge,990,19,9,10,47.4%,50,60,-10,▲ 1,+5
29,UnicornSting,986,16,8,8,50.0%,39,42,-3,▼ 1,-6
30,DranDagger,984,16,8,8,50.0%,44,48,-4,▲ 2,+5
31,SilverWolf,981,13,5,8,38.5%,34,42,-8,▼ 5,-13
32,DranBuster,969,10,3,7,30.0%,24,33,-9,→ 0,0
33,EmperorMight,967,2,0,2,0.0%,0,8,-8,▼ 2,0
34,PhoenixRudder,962,9,3,6,33.3%,17,31,-14,▼ 1,0
35,CrimsonGaruda,958,16,7,9,43.8%,39,47,-8,▲ 2,+7
36,WhaleWave,956,15,5,10,33.3%,34,51,-17,▼ 2,-5
37,WizardRod,955,15,6,9,40.0%,40,50,-10,▼ 3,-11
38,CobaltDrake,949,5,1,4,20.0%,11,21,-10,▲ 4,+21
39,WhaleFlame,947,5,1,4,20.0%,8,19,-11,→ 0,0
40,TyrannoBeat,933,9,2,7,22.2%,18,33,-15,▲ 1,0
41,BlackShell,931,9,2,7,22.2%,11,32,-21,→ 0,0
42,PegasusBlast,925,6,1,5,16.7%,11,24,-13,▲ 1,0
43,WizardArc,917,7,1,6,14.3%,17,30,-13,→ 0,+5
44,HellsHammer,903,5,0,5,0.0%,6,23,-17,→ 0,0
45,WizardArrow,901,6,0,6,0.0%,7,24,-17,→ 0,0
46,SamuraiSaber,888,8,0,8,0.0%,9,32,-23,▼ 2,-17
