Platz,Bey,ELO,PowerIndex,Matches,Wins,Losses,Winrate,PointsFor,PointsAgainst,AvgPointDiff,Volatility,AvgΔELO,MaxΔELO,MinΔELO,UpsetWins,UpsetLosses,ELOTrend,CredibilityScore,CredibilityLabel
1,ValkyrieVolt,1109,86.0,4,4,0,100.0%,22,4,4.5,8.69,27.29,39.71,19.42,1,0,109.15,0.431,Low
2,ScorpioSpear,1095,79.0,17,12,5,70.6%,64,38,1.53,17.12,17.29,34.57,-27.5,2,1,141.8,0.672,Medium
3,CerberusFlame,1048,62.9,17,10,7,58.8%,46,43,0.18,13.62,12.93,19.6,-16.47,2,5,47.93,0.68,Medium
4,SamuraiSaber,1039,42.5,12,3,9,25.0%,22,37,-1.25,17.57,16.78,25.0,-25.01,0,2,-72.35,0.599,Medium
5,WizardArc,1038,45.8,11,4,7,36.4%,33,37,-0.36,18.75,17.81,25.0,-22.36,1,1,-44.61,0.467,Medium
6,ViperTail,1036,55.8,12,7,5,58.3%,39,31,0.67,19.18,17.67,28.69,-23.6,4,3,36.24,0.603,Medium
7,SharkScale,1025,52.9,9,6,3,66.7%,35,20,1.67,24.35,22.55,25.0,-39.71,1,0,44.05,0.412,Medium
8,WhaleWave,1019,50.9,15,8,7,53.3%,43,48,-0.33,18.9,16.94,22.36,-34.58,4,1,12.51,0.612,Medium
9,HellsReaper,1014,49.4,12,6,6,50.0%,36,31,0.42,16.01,14.97,19.67,-15.99,4,1,14.11,0.597,Medium
10,PerseusDark,1007,46.4,13,6,7,46.2%,37,36,0.08,19.14,17.35,30.82,-25.53,3,3,18.26,0.541,Medium
11,CobaltDrake,1007,36.6,7,2,5,28.6%,17,25,-1.14,18.3,16.69,25.0,-23.19,0,1,-43.57,0.539,Medium
12,KnightMail,1006,46.3,13,6,7,46.2%,37,36,0.08,17.02,15.87,25.53,-18.32,3,5,5.7,0.568,Medium
13,TuskMammoth,1004,62.7,28,19,9,67.9%,97,77,0.71,14.51,12.61,27.5,-21.59,1,7,93.55,0.843,High
14,HellsChain,1000,42.8,14,6,8,42.9%,41,39,0.14,18.82,16.88,28.9,-30.82,3,3,-14.88,0.62,Medium
15,CrimsonGaruda,998,44.6,14,7,7,50.0%,37,39,-0.14,17.33,16.24,20.71,-22.21,5,1,-17.48,0.649,Medium
16,PhoenixWing,996,48.7,18,10,8,55.6%,55,54,0.06,18.59,17.59,24.5,-28.89,7,2,20.09,0.639,Medium
17,PegasusBlast,996,32.9,8,2,6,25.0%,15,30,-1.88,15.6,17.18,15.0,-24.64,0,0,-79.14,0.565,Medium
18,RhinoReaper,993,42.2,12,6,6,50.0%,39,41,-0.17,20.72,17.66,32.01,-38.36,3,2,-6.73,0.544,Medium
19,DranDagger,992,46.2,17,9,8,52.9%,47,49,-0.12,19.03,17.27,27.3,-32.01,3,3,11.84,0.591,Medium
20,DranBrave,985,45.7,17,9,8,52.9%,51,46,0.29,15.49,13.88,29.07,-20.2,5,2,1.16,0.692,Medium
21,UnicornSting,984,40.7,12,6,6,50.0%,31,32,-0.08,18.39,16.7,22.92,-27.3,1,6,-16.5,0.484,Medium
22,CobaltDragoon,982,48.1,15,9,6,60.0%,52,37,1.0,16.43,15.28,25.0,-21.44,1,5,39.7,0.554,Medium
23,SilverWolf,981,35.1,9,3,6,33.3%,23,29,-0.67,17.66,16.03,22.53,-19.61,2,2,-19.11,0.554,Medium
24,LeonCrest,980,43.6,13,7,6,53.8%,41,39,0.15,17.57,16.02,26.15,-20.0,6,1,16.58,0.604,Medium
25,ImpactDrake,980,56.8,22,15,7,68.2%,81,50,1.41,13.64,12.15,35.8,-20.0,3,6,99.44,0.729,High
26,LeonClaw,980,35.4,11,4,7,36.4%,26,37,-1.0,16.56,15.77,19.33,-20.46,4,1,-45.22,0.578,Medium
27,FoxBrush,980,53.1,19,13,6,68.4%,64,44,1.05,17.36,15.71,25.0,-35.81,0,5,80.42,0.634,Medium
28,WizardArrow,980,26.1,7,0,7,0.0%,7,28,-3.0,3.26,17.05,-12.5,-20.71,0,2,-119.34,0.475,Medium
29,SharkEdge,980,41.3,15,7,8,46.7%,39,47,-0.53,14.99,13.9,17.79,-25.0,5,1,-23.69,0.7,Medium
30,WizardRod,978,39.1,11,5,6,45.5%,32,35,-0.27,15.31,14.2,15.72,-22.92,1,4,-21.83,0.564,Medium
31,TyrannoBeat,975,29.6,12,3,9,25.0%,22,42,-1.67,15.91,16.1,20.0,-25.0,0,2,-91.29,0.563,Medium
32,WeissTiger,975,40.1,10,5,5,50.0%,26,25,0.1,17.62,15.71,21.85,-24.98,1,2,8.71,0.586,Medium
33,GolemRock,975,52.2,21,14,7,66.7%,70,42,1.33,14.71,13.57,21.05,-25.0,3,2,57.32,0.731,High
34,DranBuster,975,30.3,11,3,8,27.3%,24,38,-1.27,19.52,18.02,30.41,-25.0,3,0,-55.77,0.547,Medium
