Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,SharkScale,1133,15,12,3,80.0%,62,26,36,→ 0,+24
2,ImpactDrake,1121,30,21,9,70.0%,115,65,50,▲ 1,-2
3,ValkyrieVolt,1100,10,8,2,80.0%,39,16,23,→ 0,-25
4,TuskMammoth,1088,37,25,12,67.6%,124,95,29,▼ 1,+4
5,GolemRock,1082,29,18,11,62.1%,92,66,26,→ 0,-2
6,FoxBrush,1080,27,18,9,66.7%,89,70,19,▲ 4,+20
7,LeonCrest,1078,21,13,8,61.9%,68,54,14,▼ 1,-9
8,TyrannoRoar,1064,4,4,0,100.0%,18,5,13,→ 0,0
9,ScorpioSpear,1059,22,13,9,59.1%,69,54,15,▼ 1,-18
10,DranBrave,1054,25,15,10,60.0%,77,63,14,→ 0,-2
11,WeissTiger,1049,18,11,7,61.1%,56,39,17,▲ 6,+19
12,DranSword,1049,24,14,10,58.3%,71,66,5,▼ 2,+2
13,ViperTail,1047,21,11,10,52.4%,65,55,10,▲ 6,+28
14,KnightMail,1039,22,12,10,54.5%,67,53,14,▼ 1,+1
15,CobaltDragoon,1038,23,13,10,56.5%,73,60,13,▼ 5,-18
16,SilverWolf,1030,19,10,9,52.6%,58,52,6,▲ 7,+28
17,HellsBrave,1027,3,2,1,66.7%,12,6,6,▼ 1,0
18,HellsChain,1026,21,11,10,52.4%,64,54,10,▲ 3,+18
19,RhinoReaper,1009,21,10,11,47.6%,70,67,3,▼ 5,-18
20,WyvernHover,1009,10,5,5,50.0%,26,25,1,▼ 8,-27
21,LeonClaw,1009,19,10,9,52.6%,56,55,1,▲ 3,+3
22,CerberusFlame,1005,28,13,15,46.4%,71,81,-10,▼ 1,-2
23,HellsReaper,1004,21,10,11,47.6%,60,57,3,→ 0,+1
24,SharkEdge,997,24,12,12,50.0%,68,73,-5,▼ 4,-14
25,PerseusDark,992,21,10,11,47.6%,55,61,-6,▼ 1,-3
26,UnicornSting,989,21,10,11,47.6%,55,61,-6,▼ 1,0
27,CrimsonGaruda,987,21,9,12,42.9%,55,64,-9,▲ 4,+22
28,ClockMirage,986,4,2,2,50.0%,8,13,-5,→ 0,0
29,WolfHunt,980,3,1,2,33.3%,4,9,-5,▼ 1,0
30,PhoenixWing,970,23,10,13,43.5%,58,78,-20,▲ 2,+2
31,DranBuster,967,10,3,7,30.0%,24,33,-9,▲ 2,0
32,DranDagger,966,21,9,12,42.9%,56,70,-14,▼ 1,0
33,PhoenixRudder,952,9,3,6,33.3%,17,31,-14,▲ 1,0
34,WhaleFlame,951,5,1,4,20.0%,8,19,-11,→ 0,0
35,CobaltDrake,946,6,1,5,16.7%,13,25,-12,▼ 1,0
36,SolEclipse,944,18,6,12,33.3%,47,61,-14,▼ 6,-20
37,WhaleWave,936,20,7,13,35.0%,43,69,-26,▲ 1,0
38,WizardArc,934,7,1,6,14.3%,17,30,-13,▲ 1,0
39,EmperorMight,928,4,0,4,0.0%,2,16,-14,▲ 2,0
40,PegasusBlast,923,6,1,5,16.7%,11,24,-13,▲ 1,0
41,WizardRod,920,21,7,14,33.3%,48,73,-25,▼ 3,-21
42,BlackShell,919,9,2,7,22.2%,11,32,-21,→ 0,0
43,TyrannoBeat,909,10,2,8,20.0%,18,37,-19,→ 0,0
44,HellsHammer,900,5,0,5,0.0%,6,23,-17,→ 0,0
45,WizardArrow,887,6,0,6,0.0%,7,24,-17,→ 0,0
46,SamuraiSaber,867,8,0,8,0.0%,9,32,-23,→ 0,0
