Platz,Name,ELO_Global,ELO_Xtreme,Matches_Xtreme,Wins_Xtreme,Winrate_Xtreme,ELO_DropAttack,Matches_DropAttack,Wins_DropAttack,Winrate_DropAttack
1,SharkScale,1133,1133,15,12,80.0%,1046,4,3,75.0%
2,ImpactDrake,1121,1121,30,21,70.0%,1000,2,1,50.0%
3,ValkyrieVolt,1100,1100,10,8,80.0%,1170,7,7,100.0%
4,TuskMammoth,1088,1088,37,25,67.6%,985,5,2,40.0%
5,GolemRock,1082,1082,29,18,62.1%,976,1,0,0.0%
6,FoxBrush,1080,1080,27,18,66.7%,980,1,0,0.0%
7,LeonCrest,1078,1078,21,13,61.9%,982,4,1,25.0%
8,TyrannoRoar,1064,1064,4,4,100.0%,1000,0,0,0.0%
9,ScorpioSpear,1059,1059,22,13,59.1%,1087,4,4,100.0%
10,DranBrave,1054,1054,25,15,60.0%,986,1,0,0.0%
11,WeissTiger,1049,1049,18,11,61.1%,976,1,0,0.0%
12,DranSword,1049,1049,24,14,58.3%,957,2,0,0.0%
13,ViperTail,1047,1047,21,11,52.4%,1000,0,0,0.0%
14,KnightMail,1039,1039,22,12,54.5%,1000,0,0,0.0%
15,CobaltDragoon,1038,1038,23,13,56.5%,1000,2,1,50.0%
16,SilverWolf,1030,1030,19,10,52.6%,1000,0,0,0.0%
17,HellsBrave,1027,1027,3,2,66.7%,1000,0,0,0.0%
18,HellsChain,1026,1026,21,11,52.4%,997,2,1,50.0%
19,LeonClaw,1009,1009,19,10,52.6%,961,2,0,0.0%
20,RhinoReaper,1009,1009,21,10,47.6%,1000,0,0,0.0%
21,WyvernHover,1009,1009,10,5,50.0%,1000,0,0,0.0%
22,CerberusFlame,1005,1005,28,13,46.4%,1000,0,0,0.0%
23,HellsReaper,1004,1004,21,10,47.6%,1000,0,0,0.0%
24,SharkEdge,997,997,24,12,50.0%,980,1,0,0.0%
25,PerseusDark,992,992,21,10,47.6%,1005,2,1,50.0%
26,UnicornSting,989,989,21,10,47.6%,1000,0,0,0.0%
27,CrimsonGaruda,987,987,21,9,42.9%,1002,2,1,50.0%
28,ClockMirage,986,986,4,2,50.0%,1000,0,0,0.0%
29,WolfHunt,980,980,3,1,33.3%,986,1,0,0.0%
30,PhoenixWing,970,970,23,10,43.5%,962,6,2,33.3%
31,DranBuster,967,967,10,3,30.0%,976,1,0,0.0%
32,DranDagger,966,966,21,9,42.9%,988,5,2,40.0%
33,PhoenixRudder,952,952,9,3,33.3%,1000,0,0,0.0%
34,WhaleFlame,951,951,5,1,20.0%,1000,0,0,0.0%
35,CobaltDrake,946,946,6,1,16.7%,1013,6,3,50.0%
36,SolEclipse,944,944,18,6,33.3%,976,1,0,0.0%
37,WhaleWave,936,936,20,7,35.0%,1023,4,3,75.0%
38,WizardArc,934,934,7,1,14.3%,1049,7,5,71.4%
39,EmperorMight,928,928,4,0,0.0%,1014,1,1,100.0%
40,PegasusBlast,923,923,6,1,16.7%,993,2,1,50.0%
41,WizardRod,920,920,21,7,33.3%,1000,0,0,0.0%
42,BlackShell,919,919,9,2,22.2%,1000,0,0,0.0%
43,TyrannoBeat,909,909,10,2,20.0%,973,3,1,33.3%
44,HellsHammer,900,900,5,0,0.0%,1000,0,0,0.0%
45,WizardArrow,887,887,6,0,0.0%,980,1,0,0.0%
46,SamuraiSaber,867,867,8,0,0.0%,1011,5,3,60.0%
