Platz,Name,ELO_Global,ELO_Xtreme,Matches_Xtreme,Wins_Xtreme,Winrate_Xtreme,ELO_DropAttack,Matches_DropAttack,Wins_DropAttack,Winrate_DropAttack
1,ImpactDrake,1133,1133,30,21,70.0%,1018,2,1,50.0%
2,SharkScale,1120,1120,15,12,80.0%,1078,4,3,75.0%
3,ValkyrieVolt,1119,1119,10,8,80.0%,1257,7,7,100.0%
4,FoxBrush,1109,1109,27,18,66.7%,980,1,0,0.0%
5,TyrannoRoar,1090,1090,4,4,100.0%,1000,0,0,0.0%
6,TuskMammoth,1085,1085,37,25,67.6%,949,5,2,40.0%
7,LeonCrest,1084,1084,21,13,61.9%,990,4,1,25.0%
8,ScorpioSpear,1070,1070,22,13,59.1%,1145,4,4,100.0%
9,GolemRock,1067,1067,29,18,62.1%,980,1,0,0.0%
10,DranSword,1056,1056,24,14,58.3%,931,2,0,0.0%
11,HellsBrave,1051,1051,3,2,66.7%,1000,0,0,0.0%
12,ViperTail,1042,1042,21,11,52.4%,1000,0,0,0.0%
13,DranBrave,1036,1036,25,15,60.0%,980,1,0,0.0%
14,SilverWolf,1025,1025,19,10,52.6%,1000,0,0,0.0%
15,HellsChain,1023,1023,21,11,52.4%,972,2,1,50.0%
16,WeissTiger,1018,1018,18,11,61.1%,978,1,0,0.0%
17,KnightMail,1015,1015,22,12,54.5%,1000,0,0,0.0%
18,LeonClaw,1007,1007,19,10,52.6%,940,2,0,0.0%
19,CobaltDragoon,1004,1004,23,13,56.5%,1016,2,1,50.0%
20,WyvernHover,989,989,10,5,50.0%,1000,0,0,0.0%
21,ClockMirage,985,985,4,2,50.0%,1000,0,0,0.0%
22,SharkEdge,983,983,24,12,50.0%,980,1,0,0.0%
23,RhinoReaper,982,982,21,10,47.6%,1000,0,0,0.0%
24,CerberusFlame,981,981,28,13,46.4%,1000,0,0,0.0%
25,PerseusDark,967,967,21,10,47.6%,972,2,1,50.0%
26,DranBuster,966,966,10,3,30.0%,980,1,0,0.0%
27,WolfHunt,963,963,3,1,33.3%,980,1,0,0.0%
28,CrimsonGaruda,961,961,21,9,42.9%,972,2,1,50.0%
29,UnicornSting,960,960,21,10,47.6%,1000,0,0,0.0%
30,HellsReaper,949,949,21,10,47.6%,1000,0,0,0.0%
31,PhoenixWing,949,949,23,10,43.5%,959,6,2,33.3%
32,WhaleFlame,929,929,5,1,20.0%,1000,0,0,0.0%
33,BlackShell,923,923,9,2,22.2%,1000,0,0,0.0%
34,PhoenixRudder,921,921,9,3,33.3%,1000,0,0,0.0%
35,DranDagger,909,909,21,9,42.9%,993,5,2,40.0%
36,WhaleWave,903,903,20,7,35.0%,1046,4,3,75.0%
37,CobaltDrake,891,891,6,1,16.7%,984,6,3,50.0%
38,SolEclipse,885,885,18,6,33.3%,980,1,0,0.0%
39,EmperorMight,880,880,4,0,0.0%,1014,1,1,100.0%
40,WizardRod,864,864,21,7,33.3%,1000,0,0,0.0%
41,WizardArc,860,860,7,1,14.3%,1064,7,5,71.4%
42,TyrannoBeat,854,854,10,2,20.0%,954,3,1,33.3%
43,PegasusBlast,849,849,6,1,16.7%,975,2,1,50.0%
44,HellsHammer,829,829,5,0,0.0%,1000,0,0,0.0%
45,WizardArrow,789,789,6,0,0.0%,980,1,0,0.0%
46,SamuraiSaber,745,745,8,0,0.0%,1013,5,3,60.0%
