Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ValkyrieVolt,1187,17,15,2,88.2%,79,25,54,→ 0,-24
2,SharkScale,1142,19,15,4,78.9%,79,34,45,→ 0,+23
3,ImpactDrake,1115,32,22,10,68.8%,120,71,49,→ 0,-2
4,ScorpioSpear,1096,26,17,9,65.4%,90,60,30,→ 0,-18
5,TuskMammoth,1071,42,27,15,64.3%,136,108,28,▲ 2,+5
6,GolemRock,1066,30,18,12,60.0%,92,71,21,▼ 1,-1
7,TyrannoRoar,1066,4,4,0,100.0%,18,5,13,▼ 1,0
8,FoxBrush,1062,28,18,10,64.3%,89,74,15,▲ 3,+19
9,LeonCrest,1049,25,14,11,56.0%,75,67,8,▼ 1,-9
10,ViperTail,1043,21,11,10,52.4%,65,55,10,▲ 7,+25
11,DranBrave,1040,26,15,11,57.7%,79,67,12,▼ 1,-3
12,KnightMail,1038,22,12,10,54.5%,67,53,14,→ 0,+2
13,WeissTiger,1038,19,11,8,57.9%,56,44,12,▲ 5,+19
14,SilverWolf,1032,19,10,9,52.6%,58,52,6,▲ 9,+30
15,CobaltDragoon,1031,25,14,11,56.0%,78,66,12,▼ 6,-17
16,HellsBrave,1028,3,2,1,66.7%,12,6,6,▼ 1,0
17,HellsChain,1026,23,12,11,52.2%,68,58,10,▲ 2,+18
18,DranSword,1021,26,14,12,53.8%,73,76,-3,▼ 2,-1
19,RhinoReaper,1011,21,10,11,47.6%,70,67,3,▼ 5,-18
20,WyvernHover,1007,10,5,5,50.0%,26,25,1,▼ 7,-26
21,HellsReaper,1003,21,10,11,47.6%,60,57,3,▲ 1,0
22,CerberusFlame,1002,28,13,15,46.4%,71,81,-10,▼ 1,-1
23,WizardArc,1000,14,6,8,42.9%,44,47,-3,▲ 1,0
24,LeonClaw,992,21,10,11,47.6%,56,63,-7,▲ 2,0
25,PerseusDark,992,23,11,12,47.8%,62,65,-3,→ 0,-3
26,UnicornSting,991,21,10,11,47.6%,55,61,-6,▲ 1,-1
27,SharkEdge,990,25,12,13,48.0%,68,77,-9,▼ 7,-13
28,CrimsonGaruda,990,23,10,13,43.5%,61,69,-8,▲ 2,+22
29,ClockMirage,987,4,2,2,50.0%,8,13,-5,▼ 1,0
30,CobaltDrake,979,12,4,8,33.3%,33,41,-8,▼ 1,0
31,WolfHunt,964,4,1,3,25.0%,6,13,-7,▲ 1,0
32,DranDagger,963,26,11,15,42.3%,70,88,-18,▼ 1,-1
33,WhaleWave,955,24,10,14,41.7%,58,82,-24,→ 0,-1
34,PhoenixRudder,952,9,3,6,33.3%,17,31,-14,→ 0,0
35,WhaleFlame,951,5,1,4,20.0%,8,19,-11,→ 0,0
36,EmperorMight,950,5,1,4,20.0%,6,18,-12,▲ 1,0
37,PhoenixWing,949,29,12,17,41.4%,68,97,-29,▲ 1,+2
38,DranBuster,946,11,3,8,27.3%,24,38,-14,▲ 1,0
39,PegasusBlast,932,8,2,6,25.0%,15,30,-15,▲ 2,0
40,SolEclipse,931,19,6,13,31.6%,47,66,-19,▼ 4,-20
41,SamuraiSaber,925,13,3,10,23.1%,24,43,-19,▲ 1,0
42,WizardRod,923,21,7,14,33.3%,48,73,-25,▼ 2,-23
43,BlackShell,919,9,2,7,22.2%,11,32,-21,→ 0,0
44,TyrannoBeat,912,13,3,10,23.1%,22,46,-24,→ 0,0
45,HellsHammer,900,5,0,5,0.0%,6,23,-17,→ 0,0
46,WizardArrow,869,7,0,7,0.0%,7,28,-21,→ 0,0
