Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz
1,FoxBrush,1000,0,0,0,0.0%,0,0,0
2,ImpactDrake,1000,0,0,0,0.0%,0,0,0
3,CerberusFlame,1000,0,0,0,0.0%,0,0,0
4,CobaltDragoon,1000,0,0,0,0.0%,0,0,0
5,DranDagger,1000,0,0,0,0.0%,0,0,0
6,KnightMail,1000,0,0,0,0.0%,0,0,0
7,RhinoReaper,1000,0,0,0,0.0%,0,0,0
8,WeissTiger,1000,0,0,0,0.0%,0,0,0
9,TuskMammoth,1000,0,0,0,0.0%,0,0,0
10,UnicornSting,1000,0,0,0,0.0%,0,0,0
11,ViperTail,1000,0,0,0,0.0%,0,0,0
12,DranSword,1000,0,0,0,0.0%,0,0,0
13,SilverWolf,1000,0,0,0,0.0%,0,0,0
14,WizardRod,1000,0,0,0,0.0%,0,0,0
15,DranBuster,1000,0,0,0,0.0%,0,0,0
16,HellsChain,1000,0,0,0,0.0%,0,0,0
17,GolemRock,1000,0,0,0,0.0%,0,0,0
18,WizardArrow,1000,0,0,0,0.0%,0,0,0
19,WhaleFlame,1000,0,0,0,0.0%,0,0,0
20,PerseusDark,1000,0,0,0,0.0%,0,0,0
21,ScorpioSpear,1000,0,0,0,0.0%,0,0,0
22,PhoenixRudder,1000,0,0,0,0.0%,0,0,0
23,LeonCrest,1000,0,0,0,0.0%,0,0,0
24,WizardArc,1000,0,0,0,0.0%,0,0,0
25,TyrannoBeat,1000,0,0,0,0.0%,0,0,0
26,HellsReaper,1000,0,0,0,0.0%,0,0,0
27,SharkEdge,1000,0,0,0,0.0%,0,0,0
28,PhoenixWing,1000,0,0,0,0.0%,0,0,0
29,PegasusBlast,1000,0,0,0,0.0%,0,0,0
30,DranBrave,1000,0,0,0,0.0%,0,0,0
31,HellsHammer,1000,0,0,0,0.0%,0,0,0
32,LeonClaw,1000,0,0,0,0.0%,0,0,0
33,BlackShell,1000,0,0,0,0.0%,0,0,0
34,WhaleWave,1000,0,0,0,0.0%,0,0,0
35,SamuraiSaber,1000,0,0,0,0.0%,0,0,0
36,CrimsonGaruda,1000,0,0,0,0.0%,0,0,0
37,SharkScale,1000,0,0,0,0.0%,0,0,0
38,CobaltDrake,1000,0,0,0,0.0%,0,0,0
39,SolEclipse,1000,0,0,0,0.0%,0,0,0
40,ValkyrieVolt,1000,0,0,0,0.0%,0,0,0
41,WyvernHover,1000,0,0,0,0.0%,0,0,0
