Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1122,17,13,4,76.5%,66,33,33,→ 0,0
2,FoxBrush,1100,18,13,5,72.2%,64,40,24,→ 0,0
3,TuskMammoth,1088,21,15,6,71.4%,76,58,18,→ 0,+6
4,DranSword,1064,13,9,4,69.2%,45,34,11,→ 0,0
5,GolemRock,1051,14,9,5,64.3%,45,29,16,→ 0,0
6,ViperTail,1050,11,7,4,63.6%,37,26,11,→ 0,0
7,CobaltDragoon,1048,11,7,4,63.6%,40,24,16,→ 0,0
8,CerberusFlame,1043,13,8,5,61.5%,37,30,7,→ 0,0
9,LeonCrest,1037,12,7,5,58.3%,41,35,6,▲ 1,0
10,WeissTiger,1034,9,5,4,55.6%,26,20,6,▲ 1,0
11,SolEclipse,1033,3,2,1,66.7%,13,6,7,▲ 1,0
12,ScorpioSpear,1032,12,7,5,58.3%,38,32,6,▲ 1,0
13,DranDagger,1020,12,7,5,58.3%,33,31,2,▲ 1,0
14,SharkScale,1020,3,2,1,66.7%,11,7,4,▼ 5,-20
15,HellsReaper,1014,12,6,6,50.0%,36,31,5,→ 0,0
16,PerseusDark,1011,11,5,6,45.5%,30,32,-2,→ 0,0
17,DranBrave,1008,13,7,6,53.8%,40,36,4,→ 0,0
18,SharkEdge,1008,13,7,6,53.8%,39,39,0,→ 0,0
19,KnightMail,1006,13,6,7,46.2%,37,36,1,→ 0,0
20,WhaleWave,1000,10,5,5,50.0%,27,31,-4,→ 0,0
21,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,→ 0,0
22,ValkyrieVolt,1000,0,0,0,0.0%,0,0,0,→ 0,0
23,WyvernHover,1000,0,0,0,0.0%,0,0,0,→ 0,0
24,EmperorMight,1000,0,0,0,0.0%,0,0,0,→ 0,0
25,WolfHunt,1000,0,0,0,0.0%,0,0,0,→ 0,0
26,HellsBrave,1000,0,0,0,0.0%,0,0,0,→ 0,0
27,ClockMirage,1000,0,0,0,0.0%,0,0,0,→ 0,0
28,HellsChain,999,10,5,5,50.0%,33,27,6,→ 0,0
29,UnicornSting,997,11,6,5,54.5%,31,28,3,→ 0,0
30,RhinoReaper,993,12,6,6,50.0%,39,41,-2,→ 0,0
31,PhoenixWing,993,12,6,6,50.0%,37,44,-7,→ 0,0
32,SilverWolf,989,8,3,5,37.5%,21,25,-4,→ 0,0
33,WizardRod,978,11,5,6,45.5%,32,35,-3,→ 0,0
34,DranBuster,978,9,3,6,33.3%,21,28,-7,→ 0,0
35,LeonClaw,975,10,4,6,40.0%,26,33,-7,→ 0,0
36,CobaltDrake,972,2,0,2,0.0%,5,9,-4,→ 0,0
37,CrimsonGaruda,966,8,3,5,37.5%,19,24,-5,→ 0,0
38,PhoenixRudder,962,9,3,6,33.3%,17,31,-14,→ 0,0
39,WhaleFlame,947,5,1,4,20.0%,8,19,-11,→ 0,0
40,TyrannoBeat,939,8,2,6,25.0%,16,29,-13,→ 0,0
41,BlackShell,931,9,2,7,22.2%,11,32,-21,→ 0,0
42,PegasusBlast,923,4,0,4,0.0%,4,18,-14,→ 0,0
43,WizardArc,917,7,1,6,14.3%,17,30,-13,→ 0,0
44,HellsHammer,903,5,0,5,0.0%,6,23,-17,→ 0,0
45,WizardArrow,901,6,0,6,0.0%,7,24,-17,→ 0,0
46,SamuraiSaber,897,7,0,7,0.0%,7,28,-21,→ 0,0
