Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1131,30,21,9,70.0%,115,65,50,→ 0,-1
2,SharkScale,1122,15,12,3,80.0%,62,26,36,▲ 1,+22
3,ValkyrieVolt,1100,10,8,2,80.0%,39,16,23,▼ 1,-9
4,TuskMammoth,1097,37,25,12,67.6%,124,95,29,→ 0,+2
5,FoxBrush,1092,27,18,9,66.7%,89,70,19,→ 0,+10
6,GolemRock,1073,29,18,11,62.1%,92,66,26,→ 0,-1
7,TyrannoRoar,1069,4,4,0,100.0%,18,5,13,→ 0,0
8,LeonCrest,1061,21,13,8,61.9%,68,54,14,▲ 1,-5
9,ScorpioSpear,1058,22,13,9,59.1%,69,54,15,▲ 1,-7
10,CobaltDragoon,1056,23,13,10,56.5%,73,60,13,▼ 2,-11
11,DranSword,1054,24,14,10,58.3%,71,66,5,→ 0,-1
12,WeissTiger,1049,18,11,7,61.1%,56,39,17,▲ 2,+10
13,KnightMail,1042,22,12,10,54.5%,67,53,14,→ 0,+1
14,DranBrave,1031,25,15,10,60.0%,77,63,14,▲ 1,0
15,CerberusFlame,1029,28,13,15,46.4%,71,81,-10,▲ 1,-2
16,ViperTail,1026,21,11,10,52.4%,65,55,10,▲ 5,+16
17,WyvernHover,1020,10,5,5,50.0%,26,25,1,▼ 5,-21
18,PerseusDark,1020,21,10,11,47.6%,55,61,-6,▼ 1,-2
19,HellsBrave,1015,3,2,1,66.7%,12,6,6,▼ 1,0
20,HellsReaper,1014,21,10,11,47.6%,60,57,3,▼ 1,0
21,SilverWolf,1006,19,10,9,52.6%,58,52,6,▲ 3,+12
22,LeonClaw,1005,19,10,9,52.6%,56,55,1,▲ 1,0
23,HellsChain,1002,21,11,10,52.4%,64,54,10,▲ 2,+10
24,RhinoReaper,1000,21,10,11,47.6%,70,67,3,▼ 4,-12
25,SharkEdge,997,24,12,12,50.0%,68,73,-5,▼ 3,-9
26,PhoenixWing,987,23,10,13,43.5%,58,78,-20,→ 0,-1
27,ClockMirage,985,4,2,2,50.0%,8,13,-5,→ 0,0
28,UnicornSting,979,21,10,11,47.6%,55,61,-6,→ 0,-3
29,WolfHunt,979,3,1,2,33.3%,4,9,-5,→ 0,0
30,DranBuster,969,10,3,7,30.0%,24,33,-9,▲ 1,0
31,DranDagger,967,21,9,12,42.9%,56,70,-14,▲ 1,-2
32,SolEclipse,964,18,6,12,33.3%,47,61,-14,▼ 2,-7
33,PhoenixRudder,962,9,3,6,33.3%,17,31,-14,→ 0,0
34,CrimsonGaruda,955,21,9,12,42.9%,55,64,-9,▲ 3,+14
35,WhaleWave,949,20,7,13,35.0%,43,69,-26,▼ 1,+1
36,WhaleFlame,947,5,1,4,20.0%,8,19,-11,▼ 1,0
37,CobaltDrake,941,6,1,5,16.7%,13,25,-12,▲ 1,0
38,WizardRod,936,21,7,14,33.3%,48,73,-25,▼ 2,-10
39,EmperorMight,934,4,0,4,0.0%,2,16,-14,→ 0,0
40,BlackShell,931,9,2,7,22.2%,11,32,-21,→ 0,0
41,PegasusBlast,925,6,1,5,16.7%,11,24,-13,→ 0,0
42,TyrannoBeat,925,10,2,8,20.0%,18,37,-19,→ 0,0
43,WizardArc,917,7,1,6,14.3%,17,30,-13,→ 0,0
44,HellsHammer,903,5,0,5,0.0%,6,23,-17,→ 0,0
45,WizardArrow,901,6,0,6,0.0%,7,24,-17,→ 0,0
46,SamuraiSaber,888,8,0,8,0.0%,9,32,-23,→ 0,0
