Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1136,16,12,4,75.0%,61,33,28,→ 0,-47
2,FoxBrush,1125,16,12,4,75.0%,60,33,27,→ 0,+5
3,DranSword,1104,12,9,3,75.0%,45,29,16,▲ 5,+52
4,LeonCrest,1091,11,7,4,63.6%,40,29,11,▲ 23,+117
5,TuskMammoth,1079,19,13,6,68.4%,67,54,13,→ 0,+9
6,GolemRock,1071,12,7,5,58.3%,36,26,10,▲ 5,+41
7,WeissTiger,1063,8,5,3,62.5%,26,15,11,▲ 2,+14
8,CobaltDragoon,1057,10,6,4,60.0%,36,24,12,▼ 1,-5
9,ScorpioSpear,1047,12,7,5,58.3%,38,32,6,▲ 1,+17
10,SharkEdge,1045,12,7,5,58.3%,39,35,4,▲ 2,+18
11,ViperTail,1045,10,6,4,60.0%,32,23,9,▲ 2,+21
12,RhinoReaper,1035,11,6,5,54.5%,39,37,2,▼ 9,-57
13,DranDagger,1034,12,7,5,58.3%,33,31,2,▼ 7,-31
14,CerberusFlame,1026,12,7,5,58.3%,33,30,3,▼ 10,-61
15,DranBrave,1022,11,5,6,45.5%,32,33,-1,▲ 9,+34
16,PerseusDark,1014,9,4,5,44.4%,26,28,-2,▲ 2,+11
17,PhoenixWing,1013,12,6,6,50.0%,37,44,-7,→ 0,+1
18,UnicornSting,1011,10,5,5,50.0%,27,26,1,▲ 5,+23
19,HellsReaper,1010,10,5,5,50.0%,30,26,4,▲ 14,+100
20,LeonClaw,1008,9,4,5,44.4%,26,28,-2,▼ 4,-8
21,KnightMail,1002,12,6,6,50.0%,37,32,5,▼ 6,-20
22,SilverWolf,996,8,3,5,37.5%,21,25,-4,▼ 8,-27
23,WizardRod,995,10,5,5,50.0%,29,30,-1,▲ 5,+23
24,DranBuster,995,8,3,5,37.5%,18,24,-6,▼ 3,-1
25,WhaleWave,984,9,4,5,44.4%,22,31,-9,▲ 1,+7
26,HellsChain,980,8,3,5,37.5%,24,27,-3,▼ 6,-17
27,TyrannoBeat,963,7,2,5,28.6%,16,24,-8,▲ 3,-2
28,WhaleFlame,958,4,1,3,25.0%,6,15,-9,▼ 3,-26
29,BlackShell,954,8,2,6,25.0%,11,26,-15,▼ 7,-36
30,PhoenixRudder,952,9,3,6,33.3%,17,31,-14,▼ 11,-45
31,CrimsonGaruda,949,7,2,5,28.6%,15,24,-9,→ 0,-10
32,WizardArc,924,6,1,5,16.7%,14,25,-11,▼ 3,-47
33,PegasusBlast,890,4,0,4,0.0%,4,18,-14,▼ 1,-26
34,WizardArrow,880,5,0,5,0.0%,7,20,-13,→ 0,-26
35,HellsHammer,857,5,0,5,0.0%,6,23,-17,→ 0,-25
36,SamuraiSaber,847,6,0,6,0.0%,5,24,-19,→ 0,-23
