MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2025-09-07,ViperTail,WizardArc,4,2,exhibition,,,,Xtreme
M0002,2025-09-07,SamuraiSaber,TuskMammoth,2,4,exhibition,,,,Xtreme
M0003,2025-09-07,BlackShell,GolemRock,0,4,exhibition,,,,Xtreme
M0004,2025-09-07,LeonCrest,ImpactDrake,3,4,exhibition,,,,Xtreme
M0005,2025-09-07,DranBrave,HellsReaper,4,2,exhibition,,,,Xtreme
M0006,2025-09-07,HellsHammer,DranSword,3,4,exhibition,,,,Xtreme
M0007,2025-09-07,DranDagger,CrimsonGaruda,4,0,exhibition,,,,Xtreme
M0008,2025-09-07,LeonClaw,UnicornSting,0,4,exhibition,,,,Xtreme
M0009,2025-09-07,FoxBrush,DranBuster,5,0,exhibition,,,,Xtreme
M0010,2025-09-07,HellsChain,TyrannoBeat,2,4,exhibition,,,,Xtreme
M0011,2025-09-07,PhoenixWing,WizardArrow,4,3,exhibition,,,,Xtreme
M0012,2025-09-07,SharkEdge,CobaltDragoon,0,5,exhibition,,,,Xtreme
M0013,2025-09-07,PerseusDark,WhaleWave,5,0,exhibition,,,,Xtreme
M0014,2025-09-07,SilverWolf,WizardRod,3,4,exhibition,,,,Xtreme
M0015,2025-09-07,WeissTiger,RhinoReaper,4,0,exhibition,,,,Xtreme
M0016,2025-09-07,ScorpioSpear,PhoenixRudder,2,4,exhibition,,,,Xtreme
M0017,2025-09-07,ViperTail,TuskMammoth,2,5,exhibition,,,,Xtreme
M0018,2025-09-07,GolemRock,ImpactDrake,0,4,exhibition,,,,Xtreme
M0019,2025-09-07,DranBrave,DranSword,3,5,exhibition,,,,Xtreme
M0020,2025-09-07,DranDagger,UnicornSting,1,4,exhibition,,,,Xtreme
M0021,2025-09-07,FoxBrush,TyrannoBeat,5,2,exhibition,,,,Xtreme
M0022,2025-09-07,PhoenixWing,CobaltDragoon,4,2,exhibition,,,,Xtreme
M0023,2025-09-07,PerseusDark,WizardRod,2,4,exhibition,,,,Xtreme
M0024,2025-09-07,WeissTiger,PhoenixRudder,3,4,exhibition,,,,Xtreme
M0025,2025-09-07,TuskMammoth,ImpactDrake,0,4,exhibition,,,,Xtreme
M0026,2025-09-07,DranSword,UnicornSting,4,1,exhibition,,,,Xtreme
M0027,2025-09-07,FoxBrush,PhoenixWing,4,0,exhibition,,,,Xtreme
M0028,2025-09-07,WizardRod,PhoenixRudder,4,2,exhibition,,,,Xtreme
M0029,2025-09-07,ImpactDrake,DranSword,4,2,exhibition,,,,Xtreme
M0030,2025-09-07,FoxBrush,WizardRod,4,1,exhibition,,,,Xtreme
M0031,2025-09-07,ImpactDrake,FoxBrush,7,0,exhibition,,,,Xtreme
M0032,2025-11-12,WeissTiger,ImpactDrake,3,4,exhibition,,,,Xtreme
M0033,2025-11-12,CobaltDragoon,WizardArc,5,3,exhibition,,,,Xtreme
M0034,2025-11-12,HellsChain,PhoenixWing,6,3,exhibition,,,,Xtreme
M0035,2025-11-12,UnicornSting,WizardRod,5,2,exhibition,,,,Xtreme
M0036,2025-11-12,PhoenixRudder,SilverWolf,1,4,exhibition,,,,Xtreme
M0037,2025-11-12,LeonCrest,GolemRock,2,4,exhibition,,,,Xtreme
M0038,2025-11-12,CerberusFlame,TyrannoBeat,4,1,exhibition,,,,Xtreme
M0039,2025-11-12,PerseusDark,KnightMail,0,5,exhibition,,,,Xtreme
M0040,2025-11-12,DranSword,BlackShell,1,4,exhibition,,,,Xtreme
M0041,2025-11-12,FoxBrush,PegasusBlast,4,0,exhibition,,,,Xtreme
M0042,2025-11-12,DranBrave,ViperTail,0,4,exhibition,,,,Xtreme
M0043,2025-11-12,HellsReaper,ScorpioSpear,2,4,exhibition,,,,Xtreme
M0044,2025-11-12,WhaleWave,WhaleFlame,4,2,exhibition,,,,Xtreme
M0045,2025-11-12,DranBuster,SamuraiSaber,4,0,exhibition,,,,Xtreme
M0046,2025-11-12,WizardArrow,RhinoReaper,3,4,exhibition,,,,Xtreme
M0047,2025-11-12,SharkEdge,CrimsonGaruda,4,1,exhibition,,,,Xtreme
M0048,2025-11-12,LeonClaw,ImpactDrake,2,4,exhibition,,,,Xtreme
M0049,2025-11-12,HellsHammer,CobaltDragoon,0,5,exhibition,,,,Xtreme
M0050,2025-11-12,TuskMammoth,HellsChain,5,3,exhibition,,,,Xtreme
M0051,2025-11-12,DranDagger,UnicornSting,5,0,exhibition,,,,Xtreme
M0052,2025-11-12,GolemRock,CerberusFlame,1,4,exhibition,,,,Xtreme
M0053,2025-11-12,BlackShell,FoxBrush,0,4,exhibition,,,,Xtreme
M0054,2025-11-12,ScorpioSpear,WhaleWave,4,1,exhibition,,,,Xtreme
M0055,2025-11-12,RhinoReaper,SharkEdge,4,2,exhibition,,,,Xtreme
M0056,2025-11-12,ImpactDrake,SilverWolf,2,4,exhibition,,,,Xtreme
M0057,2025-11-12,CobaltDragoon,KnightMail,3,5,exhibition,,,,Xtreme
M0058,2025-11-12,TuskMammoth,ViperTail,5,1,exhibition,,,,Xtreme
M0059,2025-11-12,DranDagger,DranBuster,4,2,exhibition,,,,Xtreme
M0060,2025-11-12,SilverWolf,CerberusFlame,0,4,exhibition,,,,Xtreme
M0061,2025-11-12,KnightMail,FoxBrush,2,4,exhibition,,,,Xtreme
M0062,2025-11-12,TuskMammoth,ScorpioSpear,6,0,exhibition,,,,Xtreme
M0063,2025-11-12,DranDagger,RhinoReaper,2,6,exhibition,,,,Xtreme
M0064,2025-11-12,CerberusFlame,FoxBrush,1,4,exhibition,,,,Xtreme
M0065,2025-11-12,TuskMammoth,RhinoReaper,0,4,exhibition,,,,Xtreme
M0066,2025-11-12,FoxBrush,RhinoReaper,8,4,exhibition,,,,Xtreme
M0067,2025-12-02,FoxBrush,WhaleFlame,5,0,exhibition,,,,Xtreme
M0068,2025-12-02,ImpactDrake,PerseusDark,5,0,exhibition,,,,Xtreme
M0069,2025-12-02,CerberusFlame,ScorpioSpear,4,2,exhibition,,,,Xtreme
M0070,2025-12-02,CobaltDragoon,PhoenixRudder,4,1,exhibition,,,,Xtreme
M0071,2025-12-02,DranDagger,LeonCrest,4,0,exhibition,,,,Xtreme
M0072,2025-12-02,KnightMail,WizardArc,4,0,exhibition,,,,Xtreme
M0073,2025-12-02,RhinoReaper,TyrannoBeat,4,3,exhibition,,,,Xtreme
M0074,2025-12-02,WeissTiger,HellsReaper,4,1,exhibition,,,,Xtreme
M0075,2025-12-02,TuskMammoth,SharkEdge,4,3,exhibition,,,,Xtreme
M0076,2025-12-02,UnicornSting,PhoenixWing,2,5,exhibition,,,,Xtreme
M0077,2025-12-02,ViperTail,PegasusBlast,5,0,exhibition,,,,Xtreme
M0078,2025-12-02,DranSword,DranBrave,5,2,exhibition,,,,Xtreme
M0079,2025-12-02,SilverWolf,HellsHammer,5,1,exhibition,,,,Xtreme
M0080,2025-12-02,WizardRod,LeonClaw,1,4,exhibition,,,,Xtreme
M0081,2025-12-02,DranBuster,BlackShell,0,4,exhibition,,,,Xtreme
M0082,2025-12-02,HellsChain,WhaleWave,3,4,exhibition,,,,Xtreme
M0083,2025-12-02,GolemRock,SamuraiSaber,4,0,exhibition,,,,Xtreme
M0084,2025-12-02,WizardArrow,CrimsonGaruda,0,4,exhibition,,,,Xtreme
M0085,2025-12-02,FoxBrush,ViperTail,2,5,exhibition,,,,Xtreme
M0086,2025-12-02,ImpactDrake,DranSword,2,4,exhibition,,,,Xtreme
M0087,2025-12-02,CerberusFlame,SilverWolf,4,0,exhibition,,,,Xtreme
M0088,2025-12-02,CobaltDragoon,GolemRock,4,1,exhibition,,,,Xtreme
M0089,2025-12-02,DranDagger,PhoenixWing,4,3,exhibition,,,,Xtreme
M0090,2025-12-02,KnightMail,LeonClaw,2,4,exhibition,,,,Xtreme
M0091,2025-12-02,RhinoReaper,BlackShell,5,0,exhibition,,,,Xtreme
M0092,2025-12-02,WeissTiger,WhaleWave,4,0,exhibition,,,,Xtreme
M0093,2025-12-02,TuskMammoth,CrimsonGaruda,5,3,exhibition,,,,Xtreme
M0094,2025-12-02,UnicornSting,LeonCrest,2,5,exhibition,,,,Xtreme
M0095,2025-12-02,WizardRod,WizardArc,2,4,exhibition,,,,Xtreme
M0096,2025-12-02,DranBuster,TyrannoBeat,4,0,exhibition,,,,Xtreme
M0097,2025-12-02,HellsChain,HellsReaper,4,1,exhibition,,,,Xtreme
M0098,2025-12-02,WizardArrow,SharkEdge,1,4,exhibition,,,,Xtreme
M0099,2025-12-02,WhaleFlame,PegasusBlast,4,2,exhibition,,,,Xtreme
M0100,2025-12-02,PerseusDark,DranBrave,4,1,exhibition,,,,Xtreme
M0101,2025-12-02,ScorpioSpear,HellsHammer,5,1,exhibition,,,,Xtreme
M0102,2025-12-02,PhoenixRudder,SamuraiSaber,4,1,exhibition,,,,Xtreme
M0103,2025-12-11,ViperTail,DranDagger,2,5,exhibition,,,,Xtreme
M0104,2025-12-11,TuskMammoth,LeonCrest,4,1,exhibition,,,,Xtreme
M0105,2025-12-11,CerberusFlame,BlackShell,4,1,exhibition,,,,Xtreme
M0106,2025-12-11,FoxBrush,DranBrave,0,4,exhibition,,,,Xtreme
M0107,2025-12-11,PhoenixWing,CobaltDragoon,5,3,exhibition,,,,Xtreme
M0108,2025-12-11,KnightMail,ScorpioSpear,2,4,exhibition,,,,Xtreme
M0109,2025-12-11,ImpactDrake,PhoenixRudder,4,1,exhibition,,,,Xtreme
M0110,2025-12-11,SharkEdge,SamuraiSaber,4,2,exhibition,,,,Xtreme
M0111,2025-12-11,ImpactDrake,DranDagger,4,0,exhibition,,,,Xtreme
M0112,2025-12-11,PhoenixWing,KnightMail,2,6,exhibition,,,,Xtreme
M0113,2025-12-11,DranBrave,TuskMammoth,3,5,exhibition,,,,Xtreme
M0114,2025-12-11,SharkEdge,CerberusFlame,4,3,exhibition,,,,Xtreme
M0115,2025-12-11,SharkEdge,KnightMail,5,2,exhibition,,,,Xtreme
M0116,2025-12-11,ImpactDrake,TuskMammoth,4,1,exhibition,,,,Xtreme
M0117,2025-12-11,KnightMail,TuskMammoth,4,2,exhibition,,,,Xtreme
M0118,2025-12-11,ImpactDrake,SharkEdge,6,3,exhibition,,,,Xtreme
M0119,2025-12-27,CerberusFlame,WeissTiger,0,4,exhibition,,,,Xtreme
M0120,2025-12-27,CobaltDragoon,TuskMammoth,4,0,exhibition,,,,Xtreme
M0121,2025-12-27,DranDagger,ViperTail,0,4,exhibition,,,,Xtreme
M0122,2025-12-27,RhinoReaper,DranSword,2,4,exhibition,,,,Xtreme
M0123,2025-12-27,SamuraiSaber,HellsReaper,0,4,exhibition,,,,Xtreme
M0124,2025-12-27,HellsHammer,TyrannoBeat,1,4,exhibition,,,,Xtreme
M0125,2025-12-27,DranBrave,WizardArrow,4,0,exhibition,,,,Xtreme
