FixtureID,Date,BeyA,BeyB,MatchType,SeasonID,Tier,Matchday
S2_T4_DranDagger_WizardArc,,WizardArc,DranDagger,season,S2,4,1
S2_T4_PhoenixRudder_SolEclipse,,SolEclipse,PhoenixRudder,season,S2,4,1
S2_T4_CobaltDrake_WolfHunt,,WolfHunt,CobaltDrake,season,S2,4,1
S2_T4_HellsBrave_HellsHammer,,HellsBrave,HellsHammer,season,S2,4,1
S2_T3_PerseusDark_PhoenixWing,,PhoenixWing,PerseusDark,season,S2,3,1
S2_T3_HellsReaper_SharkEdge,,HellsReaper,SharkEdge,season,S2,3,1
S2_T3_RhinoReaper_SilverWolf,,SilverWolf,RhinoReaper,season,S2,3,1
S2_T3_HellsChain_LeonClaw,,LeonClaw,HellsChain,season,S2,3,1
S2_T2_CobaltDragoon_WyvernHover,,WyvernHover,CobaltDragoon,season,S2,2,1
S2_T2_DranSword_ViperTail,,DranSword,ViperTail,season,S2,2,1
S2_T2_CerberusFlame_WeissTiger,,WeissTiger,CerberusFlame,season,S2,2,1
S2_T2_DranBrave_KnightMail,,KnightMail,DranBrave,season,S2,2,1
S2_T1_ImpactDrake_ScorpioSpear,,ScorpioSpear,ImpactDrake,season,S2,1,1
S2_T1_LeonCrest_SharkScale,,SharkScale,LeonCrest,season,S2,1,1
S2_T1_GolemRock_ValkyrieVolt,,ValkyrieVolt,GolemRock,season,S2,1,1
S2_T1_FoxBrush_TuskMammoth,,TuskMammoth,FoxBrush,season,S2,1,1
S2_T4_CobaltDrake_HellsBrave,,CobaltDrake,HellsBrave,season,S2,4,2
S2_T4_HellsHammer_WizardArc,,HellsHammer,WizardArc,season,S2,4,2
S2_T4_PhoenixRudder_WolfHunt,,PhoenixRudder,WolfHunt,season,S2,4,2
S2_T4_DranDagger_SolEclipse,,DranDagger,SolEclipse,season,S2,4,2
S2_T3_LeonClaw_RhinoReaper,,RhinoReaper,LeonClaw,season,S2,3,2
S2_T3_HellsChain_PhoenixWing,,HellsChain,PhoenixWing,season,S2,3,2
S2_T3_SharkEdge_SilverWolf,,SharkEdge,SilverWolf,season,S2,3,2
S2_T3_HellsReaper_PerseusDark,,PerseusDark,HellsReaper,season,S2,3,2
S2_T2_CerberusFlame_KnightMail,,CerberusFlame,KnightMail,season,S2,2,2
S2_T2_DranBrave_WyvernHover,,DranBrave,WyvernHover,season,S2,2,2
S2_T2_ViperTail_WeissTiger,,ViperTail,WeissTiger,season,S2,2,2
S2_T2_CobaltDragoon_DranSword,,CobaltDragoon,DranSword,season,S2,2,2
S2_T1_GolemRock_TuskMammoth,,GolemRock,TuskMammoth,season,S2,1,2
S2_T1_FoxBrush_ScorpioSpear,,FoxBrush,ScorpioSpear,season,S2,1,2
S2_T1_LeonCrest_ValkyrieVolt,,LeonCrest,ValkyrieVolt,season,S2,1,2
S2_T1_ImpactDrake_SharkScale,,ImpactDrake,SharkScale,season,S2,1,2
S2_T4_HellsBrave_PhoenixRudder,,HellsBrave,PhoenixRudder,season,S2,4,3
S2_T4_DranDagger_WolfHunt,,WolfHunt,DranDagger,season,S2,4,3
S2_T4_SolEclipse_WizardArc,,WizardArc,SolEclipse,season,S2,4,3
