Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz
1,ImpactDrake,1093,3,3,0,100.0%,13,2,11
2,FoxBrush,1065,3,2,1,66.7%,10,10,0
3,DranDagger,1050,3,3,0,100.0%,15,5,10
4,WeissTiger,1044,3,3,0,100.0%,13,4,9
5,TuskMammoth,1040,3,2,1,66.7%,10,5,5
6,GolemRock,1038,3,3,0,100.0%,12,2,10
7,PhoenixWing,1034,3,3,0,100.0%,13,1,12
8,CerberusFlame,1033,0,0,0,0.0%,0,0,0
9,CobaltDragoon,1030,3,1,2,33.3%,8,8,0
10,KnightMail,1022,0,0,0,0.0%,0,0,0
11,ViperTail,1013,3,1,2,33.3%,9,9,0
12,RhinoReaper,1011,3,1,2,33.3%,6,9,-3
13,DranBrave,1011,3,2,1,66.7%,10,4,6
14,HellsChain,1004,3,1,2,33.3%,9,8,1
15,DranSword,1003,3,2,1,66.7%,10,9,1
16,WhaleWave,1002,3,2,1,66.7%,10,6,4
17,ScorpioSpear,1001,3,2,1,66.7%,11,8,3
18,PerseusDark,999,3,2,1,66.7%,11,9,2
19,WizardRod,998,3,2,1,66.7%,9,9,0
20,DranBuster,994,3,1,2,33.3%,8,9,-1
21,UnicornSting,993,3,1,2,33.3%,7,11,-4
22,WhaleFlame,992,0,0,0,0.0%,0,0,0
23,BlackShell,986,3,2,1,66.7%,9,9,0
24,CrimsonGaruda,984,3,2,1,66.7%,10,7,3
25,PegasusBlast,982,0,0,0,0.0%,0,0,0
26,SharkEdge,981,3,2,1,66.7%,9,9,0
27,HellsReaper,975,3,1,2,33.3%,8,10,-2
28,SamuraiSaber,975,3,1,2,33.3%,6,8,-2
29,TyrannoBeat,970,3,1,2,33.3%,7,11,-4
30,WizardArc,969,3,1,2,33.3%,7,11,-4
31,LeonClaw,957,2,0,2,0.0%,2,8,-6
32,SilverWolf,957,3,0,3,0.0%,2,12,-10
33,PhoenixRudder,952,3,0,3,0.0%,3,12,-9
34,HellsHammer,952,3,0,3,0.0%,4,14,-10
35,LeonCrest,951,4,1,3,25.0%,6,15,-9
36,WizardArrow,940,3,0,3,0.0%,1,14,-13
