MatchID,Date,BeyA,BeyB,ScoreA,ScoreB
P0001,2025-09-01,ViperTail,FoxBrush,2,4
P0002,2025-09-02,HellsHammer,DranDagger,1,5
P0003,2025-09-03,DranDagger,ViperTail,5,2
P0004,2025-09-04,FoxBrush,HellsHammer,4,3
P0005,2025-09-05,HellsHammer,ViperTail,0,5
P0006,2025-09-06,FoxBrush,DranDagger,2,5
P0007,2025-09-07,PhoenixWing,WizardArrow,5,0
P0008,2025-09-08,HellsReaper,CrimsonGaruda,3,5
P0009,2025-09-09,CrimsonGaruda,PhoenixWing,1,4
P0010,2025-09-10,WizardArrow,HellsReaper,1,5
P0011,2025-09-11,HellsReaper,PhoenixWing,0,4
P0012,2025-09-12,WizardArrow,CrimsonGaruda,0,4
P0013,2025-09-13,UnicornSting,SharkEdge,2,5
P0014,2025-09-14,TuskMammoth,DranBuster,4,1
P0015,2025-09-15,DranBuster,UnicornSting,4,1
P0016,2025-09-16,SharkEdge,TuskMammoth,0,4
P0017,2025-09-17,TuskMammoth,UnicornSting,2,4
P0018,2025-09-18,SharkEdge,DranBuster,4,3
P0019,2025-09-19,PerseusDark,DranSword,4,2
P0020,2025-09-20,TyrannoBeat,HellsChain,0,4
P0021,2025-09-21,HellsChain,PerseusDark,2,4
P0022,2025-09-22,DranSword,TyrannoBeat,4,2
P0023,2025-09-23,TyrannoBeat,PerseusDark,5,3
P0024,2025-09-24,DranSword,HellsChain,4,3
P0025,2025-09-25,WhaleWave,LeonCrest,4,0
P0026,2025-09-26,RhinoReaper,WeissTiger,0,5
P0027,2025-09-27,WeissTiger,WhaleWave,4,2
P0028,2025-09-28,LeonClaw,RhinoReaper,0,4
P0029,2025-09-29,RhinoReaper,WhaleWave,2,4
P0030,2025-09-30,LeonClaw,WeissTiger,2,4
P0031,2025-10-01,ImpactDrake,SamuraiSaber,4,1
P0032,2025-10-02,PhoenixRudder,BlackShell,3,4
P0033,2025-10-03,BlackShell,ImpactDrake,1,5
P0034,2025-10-04,SamuraiSaber,PhoenixRudder,4,0
P0035,2025-10-05,PhoenixRudder,ImpactDrake,0,4
P0036,2025-10-06,SamuraiSaber,BlackShell,1,4
P0037,2025-10-07,LeonCrest,ScorpioSpear,2,4
P0038,2025-10-08,WizardArc,DranBrave,0,4
P0039,2025-10-09,DranBrave,LeonCrest,4,0
P0040,2025-10-10,ScorpioSpear,WizardArc,3,4
P0041,2025-10-11,WizardArc,LeonCrest,3,4
P0042,2025-10-12,ScorpioSpear,DranBrave,4,2
P0043,2025-10-13,SilverWolf,GolemRock,0,4
P0044,2025-10-14,CobaltDragoon,WizardRod,3,4
P0045,2025-10-15,WizardRod,SilverWolf,4,2
P0046,2025-10-16,GolemRock,CobaltDragoon,4,1
P0047,2025-10-17,CobaltDragoon,SilverWolf,4,0
P0048,2025-10-18,GolemRock,WizardRod,4,1
