match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,WizardArc,spin,1,
M0001,2,ViperTail,spin,1,
M0001,3,ViperTail,burst,2,
M0001,5,WizardArc,spin,1,
M0001,4,ViperTail,spin,1,
M0002,1,SamuraiSaber,pocket,2,
M0002,2,TuskMammoth,burst,2,
M0002,3,TuskMammoth,spin,1,
M0002,4,TuskMammoth,spin,1,
M0003,1,GolemRock,spin,1,
M0003,2,GolemRock,spin,1,
M0003,3,GolemRock,pocket,2,
M0004,1,ImpactDrake,burst,2,
M0004,2,LeonCrest,spin,1,
M0004,3,LeonCrest,spin,1,
M0004,4,LeonCrest,spin,1,
M0004,5,ImpactDrake,pocket,2,
M0005,1,DranBrave,extreme,3,
M0005,2,HellsReaper,spin,1,
M0005,3,HellsReaper,spin,1,
M0005,4,DranBrave,spin,1,
M0006,1,DranSword,spin,1,
M0006,2,HellsHammer,spin,1,
M0006,3,DranSword,pocket,2,
M0006,4,HellsHammer,spin,1,
M0006,5,HellsHammer,spin,1,
M0006,6,DranSword,spin,1,
M0007,1,DranDagger,spin,1,
M0007,2,DranDagger,pocket,2,
M0007,3,DranDagger,spin,1,
M0008,1,UnicornSting,spin,1,
M0008,2,UnicornSting,extreme,3,
M0009,1,FoxBrush,burst,2,
M0009,2,FoxBrush,extreme,3,
M0010,1,HellsChain,pocket,2,
M0010,2,TyrannoBeat,burst,2,
M0010,3,TyrannoBeat,pocket,2,
M0011,1,WizardArrow,pocket,2,
M0011,2,PhoenixWing,pocket,2,
M0011,3,WizardArrow,spin,1,
M0011,4,PhoenixWing,burst,2,
M0012,1,CobaltDragoon,extreme,3,
M0012,2,CobaltDragoon,pocket,2,
M0013,1,PerseusDark,spin,1,
M0013,2,PerseusDark,spin,1,
M0013,3,PerseusDark,spin,1,
M0013,4,PerseusDark,pocket,2,
M0014,1,WizardRod,spin,1,
M0014,2,WizardRod,spin,1,
M0014,3,SilverWolf,burst,2,
M0014,4,SilverWolf,spin,1,
M0014,5,WizardRod,spin,1,
M0014,6,WizardRod,spin,1,
M0015,1,WeissTiger,pocket,2,
M0015,2,WeissTiger,burst,2,
M0016,1,PhoenixRudder,pocket,2,
M0016,2,ScorpioSpear,pocket,2,
M0016,3,PhoenixRudder,spin,1,
M0016,4,PhoenixRudder,spin,1,
M0017,1,TuskMammoth,pocket,2,
M0017,2,ViperTail,pocket,2,
M0017,3,TuskMammoth,spin,1,
M0017,4,TuskMammoth,pocket,2,
M0018,1,ImpactDrake,pocket,2,
M0018,2,ImpactDrake,pocket,2,
M0019,1,DranBrave,pocket,2,
M0019,2,DranSword,burst,2,
M0019,3,DranBrave,spin,1,
M0019,4,DranSword,extreme,3,
M0020,1,UnicornSting,spin,1,
M0020,2,DranDagger,spin,1,
M0020,3,UnicornSting,pocket,2,
M0020,4,UnicornSting,spin,1,
M0021,1,TyrannoBeat,burst,2,
M0021,2,FoxBrush,extreme,3,
M0021,3,FoxBrush,burst,2,
M0022,1,CobaltDragoon,pocket,2,
M0022,2,PhoenixWing,pocket,2,
M0022,3,PhoenixWing,pocket,2,
M0023,1,WizardRod,spin,1,
M0023,2,WizardRod,spin,1,
M0023,3,PerseusDark,burst,2,
M0023,4,WizardRod,spin,1,
M0023,5,WizardRod,spin,1,
M0024,1,WeissTiger,pocket,2,
M0024,2,PhoenixRudder,spin,1,
M0024,3,PhoenixRudder,spin,1,
M0024,4,WeissTiger,spin,1,
M0024,5,PhoenixRudder,pocket,2,
M0025,1,ImpactDrake,extreme,3,
M0025,2,ImpactDrake,spin,1,
M0026,1,UnicornSting,spin,1,
M0026,2,DranSword,spin,1,
M0026,3,DranSword,spin,1,
M0026,4,DranSword,burst,2,
M0027,1,FoxBrush,spin,1,
M0027,2,FoxBrush,spin,1,
M0027,3,FoxBrush,pocket,2,
M0028,1,WizardRod,spin,1,
M0028,2,WizardRod,spin,1,
M0028,3,PhoenixRudder,burst,2,
M0028,4,WizardRod,spin,1,
M0028,5,WizardRod,spin,1,
M0029,1,DranSword,pocket,2,
M0029,2,ImpactDrake,pocket,2,
M0029,3,ImpactDrake,spin,1,
M0029,4,ImpactDrake,spin,1,
M0030,1,FoxBrush,extreme,3,
M0030,2,WizardRod,spin,1,
M0030,3,FoxBrush,spin,1,
M0031,1,ImpactDrake,pocket,2,
M0031,2,ImpactDrake,spin,1,
M0031,3,ImpactDrake,extreme,3,
M0031,4,ImpactDrake,spin,1,
M0032,1,WeissTiger,spin,1,
M0032,2,ImpactDrake,burst,2,
M0032,3,WeissTiger,pocket,2,
M0032,4,ImpactDrake,pocket,2,
M0033,1,WizardArc,spin,1,
M0033,2,CobaltDragoon,extreme,3,
M0033,3,WizardArc,spin,1,
M0033,4,WizardArc,spin,1,
M0033,5,CobaltDragoon,pocket,2,
M0034,1,PhoenixWing,pocket,2,
M0034,2,HellsChain,pocket,2,
M0034,3,PhoenixWing,spin,1,
M0034,4,HellsChain,spin,1,
M0034,5,HellsChain,extreme,3,
M0035,1,UnicornSting,extreme,3,
M0035,2,WizardRod,spin,1,
M0035,3,WizardRod,spin,1,
M0035,4,UnicornSting,burst,2,
M0036,1,SilverWolf,spin,1,
M0036,2,SilverWolf,burst,2,
M0036,3,SilverWolf,spin,1,
M0036,4,PhoenixRudder,spin,1,
M0037,1,GolemRock,spin,1,
M0037,2,GolemRock,spin,1,
M0037,3,LeonCrest,pocket,2,
M0037,4,GolemRock,pocket,2,
M0038,1,CerberusFlame,pocket,2,
M0038,2,TyrannoBeat,spin,1,
M0038,3,CerberusFlame,spin,1,
M0038,4,CerberusFlame,spin,1,
M0039,1,KnightMail,pocket,2,
M0039,2,KnightMail,spin,1,
M0039,3,KnightMail,pocket,2,
M0040,1,DranSword,spin,1,
M0040,2,BlackShell,pocket,2,
M0040,3,BlackShell,spin,1,
M0040,4,BlackShell,spin,1,
M0041,1,FoxBrush,spin,1,
M0041,2,FoxBrush,extreme,3,
M0042,1,ViperTail,pocket,2,
M0042,2,ViperTail,spin,1,
M0042,3,ViperTail,spin,1,
M0043,1,ScorpioSpear,extreme,3,
M0043,2,HellsReaper,pocket,2,
M0043,3,ScorpioSpear,spin,1,
M0044,1,WhaleWave,burst,2,
M0044,2,WhaleFlame,burst,2,
M0044,3,WhaleWave,pocket,2,
M0045,1,DranBuster,burst,2,
M0045,2,DranBuster,pocket,2,
