Bey,Rank,ELO,Attack,Defense,Stamina,Control,Meta,Archetype,Archetype_Category,Archetype_Confidence
ImpactDrake,1,1124,3.75,3.24,1.05,4.21,4.12,Tempo Controller,control,0.508
TuskMammoth,2,1095,2.93,2.68,2.05,4.07,3.62,Tempo Controller,control,0.588
FoxBrush,3,1093,3.05,2.74,2.56,2.37,2.83,Adaptive Fighter,balance,0.654
GolemRock,4,1085,2.61,2.57,3.31,3.91,3.63,Tempo Controller,control,0.475
CobaltDragoon,5,1068,3.28,3.34,1.51,2.24,3.72,Meta Anchor,balance,0.566
LeonCrest,6,1051,2.89,2.76,2.3,2.81,3.89,Adaptive Fighter,balance,0.489
DranSword,7,1050,2.14,2.32,3.2,2.05,3.48,Adaptive Fighter,balance,0.522
SharkScale,8,1049,2.61,2.26,3.79,1.32,2.48,Endurance Core,stamina,1.0
CerberusFlame,9,1045,0.77,2.23,4.61,3.36,3.29,Endurance Core,stamina,0.726
ScorpioSpear,10,1036,3.0,2.76,2.96,3.49,3.15,Adaptive Fighter,balance,0.507
ViperTail,11,1027,2.88,2.21,2.48,2.4,2.99,Adaptive Fighter,balance,1.0
WeissTiger,12,1024,2.41,1.91,3.08,1.81,2.17,Endurance Core,stamina,1.0
PerseusDark,13,1023,2.39,3.18,1.98,1.95,2.78,Iron Wall,defense,1.0
HellsReaper,14,1022,2.15,3.79,1.9,2.46,3.19,Iron Wall,defense,0.83
KnightMail,15,1018,1.93,2.26,3.65,3.48,3.01,Tempo Controller,control,0.584
WyvernHover,16,1017,0.68,3.52,3.95,1.97,3.26,Unknown,unknown,0.0
DranBrave,17,1012,2.79,3.03,1.03,1.9,3.14,Iron Wall,defense,0.752
PhoenixWing,18,1011,3.43,2.94,0.74,2.3,3.67,Meta Anchor,balance,0.473
DranDagger,19,1008,2.34,2.72,2.09,2.32,3.02,Adaptive Fighter,balance,0.462
SharkEdge,20,1003,3.34,2.92,0.24,2.84,2.4,Iron Wall,defense,0.396
HellsChain,21,994,2.17,1.81,3.59,1.51,2.67,Endurance Core,stamina,1.0
SolEclipse,22,993,3.44,1.71,2.41,0.96,1.53,Glass Cannon,offense,0.413
UnicornSting,23,993,3.39,1.64,2.15,2.47,2.4,Glass Cannon,offense,0.469
SilverWolf,24,989,0.99,2.82,4.05,2.21,2.94,Endurance Core,stamina,0.437
WhaleWave,25,986,3.33,2.02,1.34,1.44,2.09,Glass Cannon,offense,0.524
LeonClaw,26,985,2.21,2.56,2.99,3.19,2.14,Adaptive Fighter,balance,0.457
RhinoReaper,27,984,1.36,2.57,3.44,1.07,2.46,Spin Tank,stamina,0.406
ValkyrieVolt,28,984,4.03,3.74,0.88,3.32,1.21,Unknown,unknown,0.0
CrimsonGaruda,29,976,3.29,2.44,1.16,2.3,1.96,Glass Cannon,offense,0.358
WizardRod,30,971,1.04,2.35,4.79,2.79,1.18,Endurance Core,stamina,1.0
DranBuster,31,969,3.87,1.49,1.25,1.01,1.75,Glass Cannon,offense,0.471
PhoenixRudder,32,962,1.61,2.66,2.62,2.44,1.19,Iron Wall,defense,1.0
CobaltDrake,33,949,3.5,2.59,0.31,2.22,0.53,Berserker,offense,0.529
WhaleFlame,34,947,1.07,1.77,4.14,2.05,0.39,Endurance Core,stamina,1.0
TyrannoBeat,35,933,2.69,1.34,1.45,2.6,1.44,Chaser,offense,0.67
BlackShell,36,931,1.77,2.44,2.09,3.12,1.1,Tempo Controller,control,1.0
PegasusBlast,37,925,4.12,2.03,0.0,2.7,0.34,Glass Cannon,offense,0.549
WizardArc,38,917,1.58,2.28,3.67,2.64,1.97,Endurance Core,stamina,1.0
HellsHammer,39,903,0.0,1.96,3.91,2.03,0.11,Endurance Core,stamina,1.0
WizardArrow,40,901,0.24,1.6,3.6,1.74,0.74,Endurance Core,stamina,1.0
SamuraiSaber,41,888,3.19,1.95,1.66,3.12,0.73,Glass Cannon,offense,0.447
