bey_name,matches_played,matches_won,matches_lost,match_win_rate,total_points_scored,total_points_conceded,points_differential,total_rounds_played,rounds_won,rounds_lost,round_differential,points_per_round,avg_rounds_per_match,avg_points_per_match,burst_wins,pocket_wins,extreme_wins,spin_wins,burst_losses,pocket_losses,extreme_losses,spin_losses,total_finishes,burst_win_rate,aggression_ratio,bursts_suffered,pocket_outs_suffered,extreme_finishes_suffered,defensive_stability_index,clutch_matches_won,clutch_win_rate,comeback_wins,reverse_sweeps,offensive_power_index,dominance_index,volatility_index
SharkScale,9,8,1,88.89,40,13,27,28,20,8,12,1.429,3.11,4.44,6,4,5,5,0,3,1,4,20,30.0,75.0,0,3,1,1.0,0,0.0,4,2,4.83,5.14,0.88
ValkyrieVolt,9,7,2,77.78,34,16,18,30,17,13,4,1.133,3.33,3.78,5,6,3,3,2,1,0,10,17,29.41,82.35,2,1,0,0.933,0,0.0,3,3,4.17,3.7,1.79
ImpactDrake,9,6,3,66.67,34,19,15,28,16,12,4,1.214,3.11,3.78,6,6,3,1,0,5,1,6,16,37.5,93.75,0,5,1,1.0,0,0.0,0,0,4.28,3.49,1.3
KnightMail,9,6,3,66.67,30,17,13,27,18,9,9,1.111,3.0,3.33,4,4,2,8,2,4,1,2,18,22.22,55.56,2,4,1,0.926,1,11.11,1,0,3.67,3.11,1.73
WeissTiger,9,6,3,66.67,30,19,11,31,18,13,5,0.968,3.44,3.33,1,7,2,8,2,4,0,7,18,5.56,55.56,2,4,0,0.935,1,11.11,1,1,3.33,2.67,1.5
LeonClaw,9,6,3,66.67,30,22,8,27,16,11,5,1.111,3.0,3.33,4,6,2,4,4,3,2,2,16,25.0,75.0,4,3,2,0.852,1,11.11,1,1,3.67,2.56,1.87
HellsChain,9,6,3,66.67,27,19,8,25,16,9,7,1.08,2.78,3.0,5,2,2,7,1,5,2,1,16,31.25,56.25,1,5,2,0.96,1,11.11,0,0,3.44,2.51,1.87
LeonCrest,9,6,3,66.67,27,19,8,27,16,11,5,1.0,3.0,3.0,4,5,1,6,1,3,2,5,16,25.0,62.5,1,3,2,0.963,1,11.11,0,0,3.39,2.39,1.87
DranBrave,9,6,3,66.67,28,21,7,32,16,16,0,0.875,3.56,3.11,3,5,2,6,2,3,0,11,16,18.75,62.5,2,3,0,0.938,1,11.11,3,2,3.33,2.09,1.83
TuskMammoth,9,5,4,55.56,27,22,5,27,15,12,3,1.0,3.0,3.0,3,3,3,6,1,7,1,3,15,20.0,60.0,1,7,1,0.963,0,0.0,2,2,3.17,2.06,2.4
SilverWolf,9,6,3,66.67,30,23,7,36,21,15,6,0.833,4.0,3.33,2,3,2,14,4,2,1,8,21,9.52,33.33,4,2,1,0.889,1,11.11,3,2,3.44,2.03,1.66
WyvernHover,9,5,4,55.56,26,21,5,27,15,12,3,0.963,3.0,2.89,1,6,2,6,4,1,2,5,15,6.67,60.0,4,1,2,0.852,0,0.0,2,1,2.89,2.0,1.69
SharkEdge,9,5,4,55.56,29,25,4,29,13,16,-3,1.0,3.22,3.22,7,2,3,0,5,4,0,7,12,53.85,92.31,5,4,0,0.828,2,22.22,0,0,3.61,1.94,1.48
ScorpioSpear,9,5,4,55.56,26,22,4,26,14,12,2,1.0,2.89,2.89,5,5,1,3,4,4,1,3,14,35.71,78.57,4,4,1,0.846,1,11.11,1,1,3.39,1.94,2.03
RhinoReaper,9,4,5,44.44,31,26,5,36,21,15,6,0.861,4.0,3.44,7,3,0,11,3,1,3,7,21,33.33,47.62,3,1,3,0.917,0,0.0,1,0,4.22,1.85,1.13
ViperTail,9,4,5,44.44,26,24,2,26,13,13,0,1.0,2.89,2.89,5,4,2,2,3,4,2,4,13,38.46,84.62,3,4,2,0.885,0,0.0,0,0,3.33,1.72,2.2
PerseusDark,9,5,4,55.56,24,24,0,30,17,13,4,0.8,3.33,2.67,2,5,0,10,1,8,1,3,17,11.76,41.18,1,8,1,0.967,0,0.0,2,1,2.89,1.2,2.18
HellsReaper,9,4,5,44.44,24,26,-2,31,16,15,1,0.774,3.44,2.67,1,7,0,8,2,5,2,6,16,6.25,50.0,2,5,2,0.935,1,11.11,2,2,2.78,0.94,1.73
DranSword,9,4,5,44.44,22,25,-3,26,11,15,-4,0.846,2.89,2.44,3,4,2,2,8,2,0,5,11,27.27,81.82,8,2,0,0.692,0,0.0,1,0,2.67,0.94,2.07
