bey_name,matches_played,matches_won,matches_lost,match_win_rate,total_points_scored,total_points_conceded,points_differential,total_rounds_played,rounds_won,rounds_lost,round_differential,points_per_round,avg_rounds_per_match,avg_points_per_match,burst_wins,pocket_wins,extreme_wins,spin_wins,burst_losses,pocket_losses,extreme_losses,spin_losses,total_finishes,burst_win_rate,aggression_ratio,bursts_suffered,pocket_outs_suffered,extreme_finishes_suffered,defensive_stability_index,clutch_matches_won,clutch_win_rate,comeback_wins,reverse_sweeps,offensive_power_index,dominance_index,volatility_index
TuskMammoth,4,4,0,100.0,19,4,15,13,11,2,9,1.462,3.25,4.75,1,3,2,5,0,2,0,0,11,9.09,54.55,0,2,0,1.0,0,0.0,2,2,4.75,5.94,0.96
ImpactDrake,4,3,1,75.0,16,5,11,9,7,2,5,1.778,2.25,4.0,2,3,2,0,0,1,1,0,7,28.57,100.0,0,1,1,1.0,0,0.0,0,0,4.25,5.42,1.63
SharkScale,4,3,1,75.0,18,8,10,13,8,5,3,1.385,3.25,4.5,4,0,3,1,0,1,1,3,8,50.0,87.5,0,1,1,1.0,0,0.0,2,1,5.12,4.58,1.29
LeonClaw,4,4,0,100.0,17,7,10,13,10,3,7,1.308,3.25,4.25,3,4,0,3,2,0,1,0,10,30.0,70.0,2,0,1,0.846,1,25.0,1,1,5.0,4.46,0.5
ScorpioSpear,4,3,1,75.0,13,4,9,10,7,3,4,1.3,2.5,3.25,3,3,0,1,1,0,0,2,7,42.86,85.71,1,0,0,0.9,0,0.0,0,0,4.0,4.2,2.22
LeonCrest,4,3,1,75.0,13,4,9,11,8,3,5,1.182,2.75,3.25,0,3,1,4,0,1,0,2,8,0.0,50.0,0,1,0,1.0,0,0.0,0,0,3.12,4.02,2.22
ValkyrieVolt,4,3,1,75.0,15,7,8,13,7,6,1,1.154,3.25,3.75,3,3,1,0,0,1,0,5,7,42.86,100.0,0,1,0,1.0,0,0.0,1,1,4.38,3.73,1.26
CobaltDragoon,4,3,1,75.0,14,7,7,11,7,4,3,1.273,2.75,3.5,2,3,1,1,1,2,0,1,7,28.57,85.71,1,2,0,0.909,0,0.0,2,1,3.88,3.66,2.52
HellsChain,4,3,1,75.0,14,7,7,12,9,3,6,1.167,3.0,3.5,4,1,0,4,0,2,1,0,9,44.44,55.56,0,2,1,1.0,0,0.0,0,0,4.5,3.5,1.0
PerseusDark,4,3,1,75.0,15,8,7,16,12,4,8,0.938,4.0,3.75,0,3,0,9,1,1,1,1,12,0.0,25.0,1,1,1,0.938,0,0.0,1,0,3.75,3.16,1.26
