bey_name,matches_played,matches_won,matches_lost,match_win_rate,total_points_scored,total_points_conceded,points_differential,total_rounds_played,rounds_won,rounds_lost,round_differential,points_per_round,avg_rounds_per_match,avg_points_per_match,burst_wins,pocket_wins,extreme_wins,spin_wins,burst_losses,pocket_losses,extreme_losses,spin_losses,total_finishes,burst_win_rate,aggression_ratio,bursts_suffered,pocket_outs_suffered,extreme_finishes_suffered,defensive_stability_index,clutch_matches_won,clutch_win_rate,comeback_wins,reverse_sweeps,offensive_power_index,dominance_index,volatility_index
ValkyrieVolt,12,11,1,91.67,60,16,44,42,29,13,16,1.429,3.5,5.0,6,17,4,2,1,2,0,10,29,20.69,93.1,1,2,0,0.976,0,0.0,2,1,5.33,5.81,1.65
SharkScale,14,10,4,71.43,57,29,28,50,34,16,18,1.14,3.57,4.07,12,5,3,14,1,6,3,6,34,35.29,58.82,1,6,3,0.98,0,0.0,4,2,4.82,3.71,1.0
ImpactDrake,27,19,8,70.37,102,57,45,89,52,37,15,1.146,3.3,3.78,9,19,11,13,1,11,4,21,52,17.31,75.0,1,11,4,0.989,2,7.41,6,2,3.91,3.39,1.67
ScorpioSpear,21,15,6,71.43,77,42,35,69,44,25,19,1.116,3.29,3.67,9,14,5,16,2,11,2,10,44,20.45,63.64,2,11,2,0.971,0,0.0,1,1,3.98,3.34,1.88
CobaltDragoon,20,13,7,65.0,70,46,24,70,39,31,8,1.0,3.5,3.5,6,15,5,13,5,10,0,16,39,15.38,66.67,5,10,0,0.929,0,0.0,5,1,3.67,2.7,1.57
TuskMammoth,37,26,11,70.27,128,90,38,125,73,52,21,1.024,3.38,3.46,16,25,7,25,0,26,6,20,73,21.92,65.75,0,26,6,1.0,3,8.11,9,8,3.8,2.56,1.98
GolemRock,25,15,10,60.0,74,58,16,79,46,33,13,0.937,3.16,2.96,13,9,3,21,5,16,2,10,46,28.26,54.35,5,16,2,0.937,1,4.0,3,2,3.42,2.05,2.24
HellsChain,18,9,9,50.0,55,46,9,60,36,24,12,0.917,3.33,3.06,10,5,2,19,4,10,4,6,36,27.78,47.22,4,10,4,0.933,0,0.0,1,1,3.56,1.88,1.63
WeissTiger,14,8,6,57.14,41,34,7,47,25,22,3,0.872,3.36,2.93,2,8,3,12,7,5,0,10,25,8.0,52.0,7,5,0,0.851,1,7.14,2,2,2.96,1.81,1.73
LeonCrest,20,11,9,55.0,61,52,9,68,37,31,6,0.897,3.4,3.05,6,10,4,17,3,14,2,12,37,16.22,54.05,3,14,2,0.956,2,10.0,3,2,3.25,1.8,2.11
WyvernHover,5,3,2,60.0,13,11,2,14,8,6,2,0.929,2.8,2.6,0,1,2,5,2,3,0,1,8,0.0,37.5,2,3,0,0.857,0,0.0,2,1,2.4,1.79,1.95
FoxBrush,23,14,9,60.87,70,62,8,76,38,38,0,0.921,3.3,3.04,6,10,8,14,6,8,5,19,38,15.79,63.16,6,8,5,0.921,1,4.35,2,2,3.13,1.73,2.36
PerseusDark,17,9,8,52.94,52,44,8,63,33,30,3,0.825,3.71,3.06,4,9,3,17,2,8,2,18,33,12.12,48.48,2,8,2,0.968,0,0.0,2,1,3.21,1.71,2.01
DranBrave,21,11,10,52.38,62,56,6,74,35,39,-4,0.838,3.52,2.95,5,16,3,11,1,8,4,26,35,14.29,68.57,1,8,4,0.986,1,4.76,3,1,3.12,1.54,1.6
KnightMail,17,8,9,47.06,49,46,3,56,30,26,4,0.875,3.29,2.88,1,10,4,15,8,12,0,6,30,3.33,50.0,8,12,0,0.857,0,0.0,2,1,2.82,1.49,2.15
HellsReaper,16,8,8,50.0,45,42,3,57,27,30,-3,0.789,3.56,2.81,3,9,3,12,2,4,3,21,27,11.11,55.56,2,4,3,0.965,1,6.25,3,2,2.91,1.37,1.91
UnicornSting,16,8,8,50.0,39,42,-3,45,22,23,-1,0.867,2.81,2.44,4,7,3,8,6,7,3,7,22,18.18,63.64,6,7,3,0.867,0,0.0,1,1,2.59,1.11,1.86
RhinoReaper,16,8,8,50.0,53,53,0,72,39,33,6,0.736,4.5,3.31,4,6,2,27,3,9,4,17,39,10.26,30.77,3,9,4,0.958,2,12.5,1,0,3.5,1.1,1.66
WizardArc,14,6,8,42.86,44,47,-3,54,29,25,4,0.815,3.86,3.14,2,13,0,14,5,7,5,8,29,6.9,51.72,5,7,5,0.907,0,0.0,2,2,3.29,1.01,1.23
LeonClaw,16,8,8,50.0,43,48,-5,51,26,25,1,0.843,3.19,2.69,7,8,1,10,3,6,7,9,26,26.92,61.54,3,6,7,0.941,1,6.25,1,1,3.09,0.95,1.89
CerberusFlame,22,11,11,50.0,55,59,-4,79,45,34,11,0.696,3.59,2.5,4,6,0,35,11,8,3,12,45,8.89,22.22,11,8,3,0.861,0,0.0,1,1,2.68,0.86,1.82
SolEclipse,14,6,8,42.86,39,45,-6,46,22,24,-2,0.848,3.29,2.79,7,4,3,8,8,5,4,7,22,31.82,63.64,8,5,4,0.826,0,0.0,2,2,3.18,0.84,2.15
ViperTail,16,7,9,43.75,43,49,-6,54,25,29,-4,0.796,3.38,2.69,7,7,2,9,6,10,2,11,25,28.0,64.0,6,10,2,0.889,0,0.0,2,1,3.06,0.82,1.89
CrimsonGaruda,18,8,10,44.44,45,52,-7,57,25,32,-7,0.789,3.17,2.5,9,7,2,7,9,9,1,13,25,36.0,72.0,9,9,1,0.842,1,5.56,2,1,2.94,0.8,1.65
DranDagger,21,10,11,47.62,58,66,-8,77,35,42,-7,0.753,3.67,2.76,3,14,3,15,2,14,4,22,35,8.57,57.14,2,14,4,0.974,1,4.76,2,2,2.83,0.75,1.81
DranSword,21,11,10,52.38,56,65,-9,76,35,41,-6,0.737,3.62,2.67,7,8,3,17,6,12,3,20,35,20.0,51.43,6,12,3,0.921,1,4.76,7,5,2.93,0.68,2.06
CobaltDrake,11,4,7,36.36,31,37,-6,38,15,23,-8,0.816,3.45,2.82,5,5,3,2,5,5,2,11,15,33.33,86.67,5,5,2,0.868,1,9.09,0,0,3.14,0.68,1.78
WolfHunt,3,1,2,33.33,6,8,-2,7,3,4,-1,0.857,2.33,2.0,0,1,1,1,2,2,0,0,3,0.0,66.67,2,2,0,0.714,0,0.0,0,0,1.83,0.62,2.0
SharkEdge,20,9,11,45.0,50,64,-14,67,26,41,-15,0.746,3.35,2.5,13,9,1,3,10,9,2,20,26,50.0,88.46,10,9,2,0.851,2,10.0,3,2,3.12,0.42,1.82
WizardRod,15,6,9,40.0,40,50,-10,58,32,26,6,0.69,3.87,2.67,4,2,1,25,18,2,2,4,32,12.5,21.88,18,2,2,0.69,1,6.67,0,0,2.9,0.37,1.5
WhaleWave,19,8,11,42.11,49,64,-15,65,27,38,-11,0.754,3.42,2.58,5,9,4,9,14,8,2,14,27,18.52,66.67,14,8,2,0.785,2,10.53,4,3,2.74,0.34,1.92
SilverWolf,13,5,8,38.46,34,42,-8,55,26,29,-3,0.618,4.23,2.62,4,2,1,19,7,4,1,17,26,15.38,26.92,7,4,1,0.873,1,7.69,2,1,2.88,0.31,1.8
PhoenixWing,24,10,14,41.67,58,79,-21,77,32,45,-13,0.753,3.21,2.42,6,12,4,10,0,14,10,21,32,18.75,68.75,0,14,10,1.0,1,4.17,4,3,2.58,0.25,2.12
DranBuster,11,3,8,27.27,24,38,-14,33,13,20,-7,0.727,3.0,2.18,4,3,2,4,5,5,4,6,13,30.77,69.23,5,5,4,0.848,0,0.0,0,0,2.45,-0.18,2.04
SamuraiSaber,13,3,10,23.08,24,43,-19,34,13,21,-8,0.706,2.62,1.85,2,7,1,3,13,3,3,2,13,15.38,76.92,13,3,3,0.618,0,0.0,0,0,1.96,-0.4,1.68
TyrannoBeat,12,3,9,25.0,22,42,-20,36,13,23,-10,0.611,3.0,1.83,5,4,0,4,8,5,3,7,13,38.46,69.23,8,5,3,0.778,0,0.0,1,1,2.25,-0.75,1.64
PhoenixRudder,9,3,6,33.33,17,31,-14,32,12,20,-8,0.531,3.56,1.89,3,2,0,7,4,3,2,11,12,25.0,41.67,4,3,2,0.875,1,11.11,2,1,2.22,-0.76,1.69
PegasusBlast,8,2,6,25.0,15,30,-15,25,7,18,-11,0.6,3.12,1.88,2,4,1,0,5,5,1,7,7,28.57,100.0,5,5,1,0.8,0,0.0,2,2,2.06,-0.98,1.73
