matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta
1,1,LeonCrest,1,1,0,4,4,0,4,1000.0,0
1,2,TuskMammoth,1,1,0,4,4,0,4,1000.0,0
1,3,ImpactDrake,1,1,0,4,4,0,4,1000.0,0
1,4,CobaltDragoon,1,1,0,3,4,1,3,1000.0,0
1,5,GolemRock,1,1,0,3,4,3,1,1000.0,0
1,6,CerberusFlame,1,0,1,0,3,4,-1,1000.0,0
1,7,DranSword,1,0,1,0,1,4,-3,1000.0,0
1,8,FoxBrush,1,0,1,0,0,4,-4,1000.0,0
1,9,ScorpioSpear,1,0,1,0,0,4,-4,1000.0,0
1,10,ViperTail,1,0,1,0,0,4,-4,1000.0,0
2,1,ImpactDrake,2,2,0,8,10,0,10,1000.0,2
2,2,TuskMammoth,2,2,0,8,8,0,8,1000.0,0
2,3,CobaltDragoon,2,2,0,6,10,3,7,1000.0,1
2,4,LeonCrest,2,1,1,4,4,4,0,1000.0,-3
2,5,ScorpioSpear,2,1,1,4,4,4,0,1000.0,4
2,6,DranSword,2,1,1,3,5,5,0,1000.0,1
2,7,GolemRock,2,1,1,3,4,7,-3,1000.0,-2
2,8,CerberusFlame,2,0,2,0,4,8,-4,1000.0,-2
2,9,ViperTail,2,0,2,0,2,10,-8,1000.0,1
2,10,FoxBrush,2,0,2,0,0,10,-10,1000.0,-2
3,1,TuskMammoth,3,3,0,11,13,2,11,1000.0,1
3,2,CobaltDragoon,3,3,0,10,14,3,11,1000.0,1
3,3,ImpactDrake,3,2,1,8,12,5,7,1000.0,-2
3,4,LeonCrest,3,2,1,8,9,4,5,1000.0,0
3,5,ScorpioSpear,3,2,1,8,9,4,5,1000.0,0
3,6,DranSword,3,1,2,3,5,10,-5,1000.0,0
3,7,FoxBrush,3,1,2,3,4,12,-8,1000.0,3
3,8,GolemRock,3,1,2,3,4,12,-8,1000.0,-1
3,9,CerberusFlame,3,0,3,0,4,12,-8,1000.0,-1
3,10,ViperTail,3,0,3,0,4,14,-10,1000.0,-1
4,1,TuskMammoth,4,4,0,14,19,4,15,1000.0,0
4,2,ImpactDrake,4,3,1,12,16,5,11,1000.0,1
4,3,LeonCrest,4,3,1,12,13,4,9,1000.0,1
4,4,ScorpioSpear,4,3,1,12,13,4,9,1000.0,1
4,5,CobaltDragoon,4,3,1,10,14,7,7,1000.0,-3
4,6,CerberusFlame,4,1,3,4,8,12,-4,1000.0,3
4,7,DranSword,4,1,3,3,5,14,-9,1000.0,-1
4,8,FoxBrush,4,1,3,3,6,18,-12,1000.0,-1
4,9,GolemRock,4,1,3,3,4,16,-12,1000.0,-1
4,10,ViperTail,4,0,4,0,4,18,-14,1000.0,0
