Rank,Bey,ELO,GiantKillerScore,Matches,Wins,Losses,UpsetWins,UpsetLosses,UpsetRate,Vulnerability,AvgUpsetWinMagnitude,AvgUpsetLossMagnitude,BiggestUpsetWin,BiggestUpsetLoss
1,RhinoReaper,1021,84.0,6,4,2,4,0,100.0%,0.0%,25.0,0,43.1,0
2,SilverWolf,1000,78.3,4,2,2,2,0,100.0%,0.0%,33.5,0,60.5,0
3,BlackShell,978,72.1,3,1,2,1,0,100.0%,0.0%,36.0,0,36.0,0
4,KnightMail,1022,68.5,3,2,1,2,0,100.0%,0.0%,13.4,0,14.4,0
5,WhaleWave,977,61.0,3,1,2,1,0,100.0%,0.0%,20.0,0,20.0,0
6,DranBuster,996,56.3,3,1,2,1,0,100.0%,0.0%,13.3,0,13.3,0
7,DranSword,1002,50.5,5,3,2,2,1,66.7%,50.0%,13.9,36.0,23.9,36.0
8,PhoenixWing,985,39.4,4,2,2,1,0,50.0%,0.0%,17.1,0,17.1,0
9,PhoenixRudder,991,36.7,4,2,2,1,1,50.0%,50.0%,13.3,6.5,13.3,6.5
10,TuskMammoth,1022,36.1,7,5,2,2,1,40.0%,50.0%,10.7,31.6,17.3,31.6
11,DranDagger,1022,33.3,5,3,2,1,1,33.3%,50.0%,18.5,43.1,18.5,43.1
12,ImpactDrake,1064,32.6,8,7,1,2,1,28.6%,100.0%,12.7,60.5,17.1,60.5
13,WizardRod,999,32.3,5,3,2,1,0,33.3%,0.0%,17.1,0,17.1,0
14,ViperTail,1004,29.8,4,2,2,1,1,50.0%,50.0%,3.4,17.3,3.4,17.3
15,WizardArc,989,0.0,2,0,2,0,0,0.0%,0.0%,0,0,0,0
16,SamuraiSaber,973,0.0,2,0,2,0,1,0.0%,50.0%,0,13.3,0,13.3
17,GolemRock,994,0.0,4,2,2,0,1,0.0%,50.0%,0,17.1,0,17.1
18,LeonCrest,991,0.0,2,0,2,0,0,0.0%,0.0%,0,0,0,0
19,DranBrave,981,0.0,3,1,2,0,2,0.0%,100.0%,0,3.6,0,3.8
20,HellsReaper,987,0.0,2,0,2,0,0,0.0%,0.0%,0,0,0,0
21,HellsHammer,978,0.0,2,0,2,0,0,0.0%,0.0%,0,0,0,0
22,CrimsonGaruda,968,0.0,2,0,2,0,0,0.0%,0.0%,0,0,0,0
23,LeonClaw,978,0.0,2,0,2,0,0,0.0%,0.0%,0,0,0,0
24,UnicornSting,1005,0.0,5,3,2,0,2,0.0%,100.0%,0,21.2,0,23.9
25,FoxBrush,1076,0.0,10,9,1,0,1,0.0%,100.0%,0,8.3,0,8.3
26,HellsChain,995,0.0,3,1,2,0,1,0.0%,50.0%,0,4.2,0,4.2
27,TyrannoBeat,987,0.0,3,1,2,0,0,0.0%,0.0%,0,0,0,0
28,WizardArrow,993,0.0,2,0,2,0,1,0.0%,50.0%,0,17.1,0,17.1
29,SharkEdge,985,0.0,3,1,2,0,1,0.0%,50.0%,0,8.2,0,8.2
30,CobaltDragoon,1029,0.0,5,3,2,0,2,0.0%,100.0%,0,15.8,0,17.1
31,PerseusDark,992,0.0,3,1,2,0,2,0.0%,100.0%,0,14.7,0,17.1
32,WeissTiger,1017,0.0,3,1,2,0,1,0.0%,50.0%,0,13.3,0,13.3
33,ScorpioSpear,992,0.0,4,2,2,0,0,0.0%,0.0%,0,0,0,0
34,CerberusFlame,1033,0.0,4,3,1,0,0,0.0%,0.0%,0,0,0,0
35,PegasusBlast,982,0.0,1,0,1,0,0,0.0%,0.0%,0,0,0,0
36,WhaleFlame,992,0.0,1,0,1,0,1,0.0%,100.0%,0,20.0,0,20.0
