Rank,MatchID,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
1,M0106,2025-12-11,DranBrave,FoxBrush,894.6,1172.7,278.04,4-0
2,M0085,2025-12-02,ViperTail,FoxBrush,997.5,1214.2,216.78,5-2
3,M0346,2026-02-26,ViperTail,TuskMammoth,954.4,1153.0,198.57,5-0
4,M0144,2025-12-27,PhoenixWing,ImpactDrake,964.1,1144.4,180.3,6-3
5,M0056,2025-11-12,SilverWolf,ImpactDrake,1023.0,1190.7,167.68,4-2
6,M0390,2026-03-01,SilverWolf,ValkyrieVolt,994.5,1151.2,156.7,4-0
7,M0163,2025-12-27,GolemRock,FoxBrush,1007.0,1161.9,154.89,6-0
8,M0129,2025-12-27,ScorpioSpear,ImpactDrake,1024.4,1169.3,144.87,4-0
9,M0194,2026-01-04,HellsChain,FoxBrush,998.4,1139.0,140.63,4-0
10,M0086,2025-12-02,DranSword,ImpactDrake,1018.8,1159.4,140.53,4-2
11,M0415,2026-03-01,CerberusFlame,TuskMammoth,963.2,1100.0,136.84,4-3
12,M0336,2026-02-26,WhaleWave,LeonClaw,913.9,1041.7,127.81,4-2
13,M0352,2026-02-26,CobaltDragoon,ImpactDrake,1031.1,1153.5,122.41,4-2
14,M0350,2026-02-26,ViperTail,ScorpioSpear,990.6,1109.2,118.64,5-0
15,M0306,2026-02-11,ValkyrieVolt,TuskMammoth,1047.0,1165.5,118.51,5-0
16,M0114,2025-12-11,SharkEdge,CerberusFlame,999.3,1114.2,114.89,4-3
17,M0219,2026-01-04,PhoenixWing,GolemRock,1011.7,1118.8,107.08,5-0
18,M0313,2026-02-13,CobaltDrake,SamuraiSaber,948.3,1055.0,106.75,6-2
19,M0172,2025-12-27,LeonCrest,DranSword,1001.5,1104.0,102.4,5-1
20,M0204,2026-01-04,CerberusFlame,ImpactDrake,1047.8,1148.8,101.01,4-2
21,M0395,2026-03-01,WhaleWave,UnicornSting,880.8,977.5,96.66,5-3
22,M0268,2026-01-30,LeonCrest,FoxBrush,1024.1,1120.0,95.99,4-0
23,M0411,2026-03-01,ViperTail,LeonCrest,1001.8,1096.6,94.75,6-0
24,M0095,2025-12-02,WizardArc,WizardRod,894.8,987.5,92.77,4-2
25,M0180,2026-01-04,HellsReaper,LeonCrest,966.7,1057.0,90.38,6-1
26,M0327,2026-02-13,SolEclipse,WyvernHover,956.0,1045.5,89.56,4-1
27,M0094,2025-12-02,LeonCrest,UnicornSting,890.8,980.2,89.49,5-2
28,M0284,2026-02-11,ScorpioSpear,GolemRock,1034.5,1120.5,86.03,4-0
29,M0131,2025-12-27,LeonCrest,BlackShell,919.8,1004.3,84.46,4-2
30,M0117,2025-12-11,KnightMail,TuskMammoth,990.7,1075.0,84.3,4-2
31,M0143,2025-12-27,WhaleWave,RhinoReaper,984.8,1064.3,79.45,5-3
32,M0328,2026-02-13,WeissTiger,SharkScale,1003.2,1081.9,78.78,4-3
33,M0157,2025-12-27,PerseusDark,RhinoReaper,960.8,1038.5,77.77,6-3
34,M0419,2026-03-01,LeonCrest,ImpactDrake,1070.1,1147.7,77.55,4-3
