Bey,ELO,AvgFinalSimELO,P(Top24),P(R16),P(QF),P(SF),P(Champion)
FoxBrush,1073.0,1074.17,0.842,0.504,0.396,0.131,0.074
ImpactDrake,1050.0,1050.55,0.788,0.442,0.336,0.093,0.05
CerberusFlame,1026.0,1024.6,0.711,0.369,0.252,0.061,0.033
CobaltDragoon,1024.0,1024.08,0.703,0.377,0.262,0.078,0.045
DranDagger,1018.0,1016.87,0.662,0.366,0.257,0.063,0.024
KnightMail,1017.0,1016.8,0.692,0.362,0.224,0.063,0.033
RhinoReaper,1016.0,1016.54,0.68,0.372,0.262,0.075,0.045
WeissTiger,1013.0,1012.49,0.68,0.353,0.237,0.064,0.032
TuskMammoth,1011.0,1011.96,0.686,0.382,0.265,0.073,0.027
UnicornSting,1005.0,1003.42,0.647,0.321,0.21,0.057,0.029
ViperTail,1003.0,1002.38,0.663,0.345,0.226,0.056,0.02
DranSword,1001.0,1001.58,0.685,0.36,0.226,0.057,0.024
SilverWolf,999.0,998.89,0.662,0.34,0.221,0.056,0.027
WizardRod,999.0,996.96,0.647,0.342,0.22,0.04,0.014
DranBuster,996.0,994.29,0.648,0.311,0.205,0.059,0.029
HellsChain,996.0,994.51,0.674,0.317,0.209,0.059,0.024
GolemRock,995.0,996.8,0.699,0.357,0.242,0.054,0.028
WizardArrow,995.0,994.2,0.669,0.328,0.215,0.057,0.033
WhaleFlame,994.0,992.47,0.61,0.311,0.191,0.04,0.017
PerseusDark,994.0,994.5,0.643,0.33,0.202,0.056,0.03
ScorpioSpear,993.0,994.61,0.664,0.309,0.209,0.059,0.025
PhoenixRudder,993.0,991.76,0.629,0.332,0.215,0.044,0.026
LeonCrest,992.0,991.55,0.651,0.322,0.197,0.051,0.03
WizardArc,991.0,991.93,0.656,0.325,0.216,0.048,0.023
TyrannoBeat,989.0,989.26,0.665,0.327,0.201,0.039,0.021
HellsReaper,989.0,989.45,0.65,0.349,0.209,0.044,0.027
KeelShark,988.0,987.91,0.658,0.344,0.206,0.04,0.021
PhoenixWing,988.0,987.68,0.636,0.333,0.211,0.044,0.019
PegasusBlast,985.0,986.75,0.663,0.322,0.198,0.044,0.019
DranBrave,985.0,989.29,0.684,0.351,0.217,0.056,0.022
HellsHammer,982.0,982.64,0.635,0.327,0.185,0.043,0.028
LeonClaw,982.0,981.71,0.628,0.322,0.197,0.05,0.03
BlackShell,981.0,979.08,0.615,0.283,0.164,0.035,0.017
WhaleWave,981.0,984.54,0.67,0.343,0.195,0.047,0.02
SamuraiSaber,978.0,975.61,0.601,0.303,0.161,0.028,0.015
CrimsonGaruda,974.0,974.18,0.604,0.298,0.161,0.036,0.019
