Date,BeyA,BeyB,ScoreA,ScoreB
2025-11-14,DranBuster,HellsReaper,2,5
2025-11-14,DranBuster,PhoenixWing,5,2
2025-11-14,DranBuster,SharkEdge,5,1
2025-11-14,DranBuster,FoxBrush,0,5
2025-11-14,DranBuster,PegasusBlast,5,4
2025-11-14,DranBuster,HellsChain,1,5
2025-11-14,DranBuster,DranDagger,5,2
2025-11-14,DranBuster,KnightMail,4,5
2025-11-14,DranBuster,PerseusDark,5,0
2025-11-14,DranBuster,WhaleWave,4,5
2025-11-14,DranBuster,CobaltDragoon,3,5
2025-11-14,DranBuster,ViperTail,0,5
2025-11-14,DranBuster,CrimsonGaruda,4,5
2025-11-14,DranBuster,ScorpioSpear,5,2
2025-11-14,DranBuster,ImpactDrake,3,5
2025-11-14,DranBuster,TuskMammoth,5,2
2025-11-14,DranBuster,UnicornSting,5,3
2025-11-14,DranBuster,BlackShell,4,5
2025-11-14,DranBuster,DranSword,1,5
2025-11-14,DranBuster,WizardArrow,5,3
2025-11-14,DranBuster,DranBrave,5,1
2025-11-14,DranBuster,WeissTiger,5,4
2025-11-14,DranBuster,HellsHammer,4,5
2025-11-14,DranBuster,PhoenixRudder,2,5
2025-11-14,DranBuster,TyrannoBeat,5,2
2025-11-14,DranBuster,WhaleFlame,5,1
2025-11-14,DranBuster,RhinoReaper,5,2
2025-11-14,DranBuster,LeonCrest,4,5
2025-11-14,DranBuster,CerberusFlame,5,3
2025-11-14,DranBuster,WizardArc,5,1
2025-11-14,DranBuster,SilverWolf,5,2
2025-11-14,DranBuster,LeonClaw,5,3
2025-11-14,DranBuster,WizardRod,5,3
2025-11-14,DranBuster,SamuraiSaber,5,3
2025-11-14,DranBuster,GolemRock,3,5
2025-11-14,HellsReaper,PhoenixWing,5,1
2025-11-14,HellsReaper,SharkEdge,5,2
2025-11-14,HellsReaper,FoxBrush,0,5
2025-11-14,HellsReaper,PegasusBlast,4,5
2025-11-14,HellsReaper,HellsChain,5,4
2025-11-14,HellsReaper,DranDagger,5,1
2025-11-14,HellsReaper,KnightMail,4,5
2025-11-14,HellsReaper,PerseusDark,4,5
2025-11-14,HellsReaper,WhaleWave,1,5
2025-11-14,HellsReaper,CobaltDragoon,5,0
2025-11-14,HellsReaper,ViperTail,5,0
2025-11-14,HellsReaper,CrimsonGaruda,5,2
2025-11-14,HellsReaper,ScorpioSpear,3,5
2025-11-14,HellsReaper,ImpactDrake,5,2
2025-11-14,HellsReaper,TuskMammoth,3,5
2025-11-14,HellsReaper,UnicornSting,4,5
2025-11-14,HellsReaper,BlackShell,1,5
2025-11-14,HellsReaper,DranSword,5,0
2025-11-14,HellsReaper,WizardArrow,5,0
2025-11-14,HellsReaper,DranBrave,3,5
2025-11-14,HellsReaper,WeissTiger,4,5
2025-11-14,HellsReaper,HellsHammer,2,5
2025-11-14,HellsReaper,PhoenixRudder,1,5
2025-11-14,HellsReaper,TyrannoBeat,5,4
2025-11-14,HellsReaper,WhaleFlame,2,5
2025-11-14,HellsReaper,RhinoReaper,0,5
2025-11-14,HellsReaper,LeonCrest,3,5
2025-11-14,HellsReaper,CerberusFlame,5,2
2025-11-14,HellsReaper,WizardArc,5,4
2025-11-14,HellsReaper,SilverWolf,5,4
2025-11-14,HellsReaper,LeonClaw,4,5
2025-11-14,HellsReaper,WizardRod,5,0
2025-11-14,HellsReaper,SamuraiSaber,1,5
2025-11-14,HellsReaper,GolemRock,4,5
2025-11-14,PhoenixWing,SharkEdge,1,5
2025-11-14,PhoenixWing,FoxBrush,3,5
2025-11-14,PhoenixWing,PegasusBlast,5,4
2025-11-14,PhoenixWing,HellsChain,5,3
2025-11-14,PhoenixWing,DranDagger,5,2
2025-11-14,PhoenixWing,KnightMail,3,5
2025-11-14,PhoenixWing,PerseusDark,3,5
2025-11-14,PhoenixWing,WhaleWave,5,3
2025-11-14,PhoenixWing,CobaltDragoon,5,4
2025-11-14,PhoenixWing,ViperTail,1,5
2025-11-14,PhoenixWing,CrimsonGaruda,2,5
2025-11-14,PhoenixWing,ScorpioSpear,5,2
2025-11-14,PhoenixWing,ImpactDrake,3,5
2025-11-14,PhoenixWing,TuskMammoth,5,4
2025-11-14,PhoenixWing,UnicornSting,2,5
2025-11-14,PhoenixWing,BlackShell,1,5
2025-11-14,PhoenixWing,DranSword,5,0
2025-11-14,PhoenixWing,WizardArrow,1,5
2025-11-14,PhoenixWing,DranBrave,5,4
2025-11-14,PhoenixWing,WeissTiger,0,5
2025-11-14,PhoenixWing,HellsHammer,3,5
2025-11-14,PhoenixWing,PhoenixRudder,5,3
2025-11-14,PhoenixWing,TyrannoBeat,1,5
2025-11-14,PhoenixWing,WhaleFlame,4,5
2025-11-14,PhoenixWing,RhinoReaper,5,1
2025-11-14,PhoenixWing,LeonCrest,5,4
2025-11-14,PhoenixWing,CerberusFlame,1,5
2025-11-14,PhoenixWing,WizardArc,3,5
2025-11-14,PhoenixWing,SilverWolf,4,5
2025-11-14,PhoenixWing,LeonClaw,5,0
2025-11-14,PhoenixWing,WizardRod,2,5
2025-11-14,PhoenixWing,SamuraiSaber,5,2
2025-11-14,PhoenixWing,GolemRock,5,2
2025-11-14,SharkEdge,FoxBrush,0,5
2025-11-14,SharkEdge,PegasusBlast,5,4
2025-11-14,SharkEdge,HellsChain,1,5
2025-11-14,SharkEdge,DranDagger,5,2
2025-11-14,SharkEdge,KnightMail,5,2
2025-11-14,SharkEdge,PerseusDark,5,3
2025-11-14,SharkEdge,WhaleWave,3,5
2025-11-14,SharkEdge,CobaltDragoon,3,5
2025-11-14,SharkEdge,ViperTail,2,5
2025-11-14,SharkEdge,CrimsonGaruda,5,2
2025-11-14,SharkEdge,ScorpioSpear,4,5
2025-11-14,SharkEdge,ImpactDrake,1,5
2025-11-14,SharkEdge,TuskMammoth,5,1
2025-11-14,SharkEdge,UnicornSting,4,5
2025-11-14,SharkEdge,BlackShell,5,2
2025-11-14,SharkEdge,DranSword,3,5
2025-11-14,SharkEdge,WizardArrow,3,5
2025-11-14,SharkEdge,DranBrave,5,3
2025-11-14,SharkEdge,WeissTiger,5,2
2025-11-14,SharkEdge,HellsHammer,5,0
2025-11-14,SharkEdge,PhoenixRudder,5,4
2025-11-14,SharkEdge,TyrannoBeat,2,5
2025-11-14,SharkEdge,WhaleFlame,4,5
2025-11-14,SharkEdge,RhinoReaper,1,5
2025-11-14,SharkEdge,LeonCrest,5,4
2025-11-14,SharkEdge,CerberusFlame,3,5
2025-11-14,SharkEdge,WizardArc,5,1
2025-11-14,SharkEdge,SilverWolf,5,3
2025-11-14,SharkEdge,LeonClaw,5,3
2025-11-14,SharkEdge,WizardRod,3,5
2025-11-14,SharkEdge,SamuraiSaber,5,2
2025-11-14,SharkEdge,GolemRock,1,5
2025-11-14,FoxBrush,PegasusBlast,5,0
2025-11-14,FoxBrush,HellsChain,5,1
2025-11-14,FoxBrush,DranDagger,4,5
2025-11-14,FoxBrush,KnightMail,4,5
2025-11-14,FoxBrush,PerseusDark,0,5
2025-11-14,FoxBrush,WhaleWave,5,1
2025-11-14,FoxBrush,CobaltDragoon,5,3
2025-11-14,FoxBrush,ViperTail,5,3
2025-11-14,FoxBrush,CrimsonGaruda,5,3
2025-11-14,FoxBrush,ScorpioSpear,2,5
2025-11-14,FoxBrush,ImpactDrake,5,4
2025-11-14,FoxBrush,TuskMammoth,4,5
2025-11-14,FoxBrush,UnicornSting,5,4
2025-11-14,FoxBrush,BlackShell,5,4
2025-11-14,FoxBrush,DranSword,5,2
2025-11-14,FoxBrush,WizardArrow,5,3
2025-11-14,FoxBrush,DranBrave,4,5
2025-11-14,FoxBrush,WeissTiger,4,5
2025-11-14,FoxBrush,HellsHammer,5,3
2025-11-14,FoxBrush,PhoenixRudder,4,5
2025-11-14,FoxBrush,TyrannoBeat,5,1
2025-11-14,FoxBrush,WhaleFlame,5,1
2025-11-14,FoxBrush,RhinoReaper,5,1
2025-11-14,FoxBrush,LeonCrest,5,2
2025-11-14,FoxBrush,CerberusFlame,5,2
2025-11-14,FoxBrush,WizardArc,5,2
2025-11-14,FoxBrush,SilverWolf,5,3
2025-11-14,FoxBrush,LeonClaw,5,1
2025-11-14,FoxBrush,WizardRod,5,1
2025-11-14,FoxBrush,SamuraiSaber,5,1
2025-11-14,FoxBrush,GolemRock,4,5
2025-11-14,PegasusBlast,HellsChain,5,4
2025-11-14,PegasusBlast,DranDagger,0,5
2025-11-14,PegasusBlast,KnightMail,0,5
2025-11-14,PegasusBlast,PerseusDark,5,4
2025-11-14,PegasusBlast,WhaleWave,3,5
2025-11-14,PegasusBlast,CobaltDragoon,5,4
2025-11-14,PegasusBlast,ViperTail,1,5
2025-11-14,PegasusBlast,CrimsonGaruda,5,1
2025-11-14,PegasusBlast,ScorpioSpear,5,4
2025-11-14,PegasusBlast,ImpactDrake,3,5
2025-11-14,PegasusBlast,TuskMammoth,5,2
2025-11-14,PegasusBlast,UnicornSting,5,4
2025-11-14,PegasusBlast,BlackShell,5,4
2025-11-14,PegasusBlast,DranSword,5,4
2025-11-14,PegasusBlast,WizardArrow,5,4
2025-11-14,PegasusBlast,DranBrave,5,0
2025-11-14,PegasusBlast,WeissTiger,4,5
2025-11-14,PegasusBlast,HellsHammer,5,2
2025-11-14,PegasusBlast,PhoenixRudder,4,5
2025-11-14,PegasusBlast,TyrannoBeat,2,5
2025-11-14,PegasusBlast,WhaleFlame,4,5
2025-11-14,PegasusBlast,RhinoReaper,5,4
2025-11-14,PegasusBlast,LeonCrest,4,5
2025-11-14,PegasusBlast,CerberusFlame,5,3
2025-11-14,PegasusBlast,WizardArc,5,3
2025-11-14,PegasusBlast,SilverWolf,3,5
2025-11-14,PegasusBlast,LeonClaw,5,4
2025-11-14,PegasusBlast,WizardRod,3,5
2025-11-14,PegasusBlast,SamuraiSaber,2,5
2025-11-14,PegasusBlast,GolemRock,5,1
2025-11-14,HellsChain,DranDagger,4,5
2025-11-14,HellsChain,KnightMail,5,4
2025-11-14,HellsChain,PerseusDark,5,1
2025-11-14,HellsChain,WhaleWave,5,4
2025-11-14,HellsChain,CobaltDragoon,5,3
2025-11-14,HellsChain,ViperTail,1,5
2025-11-14,HellsChain,CrimsonGaruda,2,5
2025-11-14,HellsChain,ScorpioSpear,5,3
2025-11-14,HellsChain,ImpactDrake,5,3
2025-11-14,HellsChain,TuskMammoth,2,5
2025-11-14,HellsChain,UnicornSting,5,3
2025-11-14,HellsChain,BlackShell,0,5
2025-11-14,HellsChain,DranSword,3,5
2025-11-14,HellsChain,WizardArrow,5,0
2025-11-14,HellsChain,DranBrave,2,5
2025-11-14,HellsChain,WeissTiger,5,4
2025-11-14,HellsChain,HellsHammer,1,5
2025-11-14,HellsChain,PhoenixRudder,5,2
2025-11-14,HellsChain,TyrannoBeat,5,3
2025-11-14,HellsChain,WhaleFlame,5,2
2025-11-14,HellsChain,RhinoReaper,5,0
2025-11-14,HellsChain,LeonCrest,4,5
2025-11-14,HellsChain,CerberusFlame,5,3
2025-11-14,HellsChain,WizardArc,1,5
2025-11-14,HellsChain,SilverWolf,5,3
2025-11-14,HellsChain,LeonClaw,1,5
2025-11-14,HellsChain,WizardRod,0,5
2025-11-14,HellsChain,SamuraiSaber,5,4
2025-11-14,HellsChain,GolemRock,0,5
2025-11-14,DranDagger,KnightMail,5,2
2025-11-14,DranDagger,PerseusDark,5,4
2025-11-14,DranDagger,WhaleWave,5,2
2025-11-14,DranDagger,CobaltDragoon,4,5
2025-11-14,DranDagger,ViperTail,5,3
2025-11-14,DranDagger,CrimsonGaruda,5,4
2025-11-14,DranDagger,ScorpioSpear,2,5
2025-11-14,DranDagger,ImpactDrake,4,5
2025-11-14,DranDagger,TuskMammoth,5,2
2025-11-14,DranDagger,UnicornSting,5,4
2025-11-14,DranDagger,BlackShell,5,0
2025-11-14,DranDagger,DranSword,5,1
2025-11-14,DranDagger,WizardArrow,2,5
2025-11-14,DranDagger,DranBrave,5,3
2025-11-14,DranDagger,WeissTiger,2,5
2025-11-14,DranDagger,HellsHammer,5,3
2025-11-14,DranDagger,PhoenixRudder,4,5
2025-11-14,DranDagger,TyrannoBeat,5,4
2025-11-14,DranDagger,WhaleFlame,2,5
2025-11-14,DranDagger,RhinoReaper,5,3
2025-11-14,DranDagger,LeonCrest,4,5
2025-11-14,DranDagger,CerberusFlame,5,1
2025-11-14,DranDagger,WizardArc,3,5
2025-11-14,DranDagger,SilverWolf,5,1
2025-11-14,DranDagger,LeonClaw,5,1
2025-11-14,DranDagger,WizardRod,5,2
2025-11-14,DranDagger,SamuraiSaber,5,3
2025-11-14,DranDagger,GolemRock,5,0
2025-11-14,KnightMail,PerseusDark,5,2
2025-11-14,KnightMail,WhaleWave,5,2
2025-11-14,KnightMail,CobaltDragoon,4,5
2025-11-14,KnightMail,ViperTail,5,4
2025-11-14,KnightMail,CrimsonGaruda,5,0
2025-11-14,KnightMail,ScorpioSpear,0,5
2025-11-14,KnightMail,ImpactDrake,1,5
2025-11-14,KnightMail,TuskMammoth,5,4
2025-11-14,KnightMail,UnicornSting,4,5
2025-11-14,KnightMail,BlackShell,5,4
2025-11-14,KnightMail,DranSword,1,5
2025-11-14,KnightMail,WizardArrow,5,4
2025-11-14,KnightMail,DranBrave,5,3
2025-11-14,KnightMail,WeissTiger,0,5
2025-11-14,KnightMail,HellsHammer,4,5
2025-11-14,KnightMail,PhoenixRudder,3,5
2025-11-14,KnightMail,TyrannoBeat,5,4
2025-11-14,KnightMail,WhaleFlame,5,2
2025-11-14,KnightMail,RhinoReaper,5,4
2025-11-14,KnightMail,LeonCrest,1,5
2025-11-14,KnightMail,CerberusFlame,3,5
2025-11-14,KnightMail,WizardArc,4,5
2025-11-14,KnightMail,SilverWolf,4,5
2025-11-14,KnightMail,LeonClaw,4,5
2025-11-14,KnightMail,WizardRod,3,5
2025-11-14,KnightMail,SamuraiSaber,4,5
2025-11-14,KnightMail,GolemRock,4,5
2025-11-14,PerseusDark,WhaleWave,4,5
2025-11-14,PerseusDark,CobaltDragoon,2,5
2025-11-14,PerseusDark,ViperTail,2,5
2025-11-14,PerseusDark,CrimsonGaruda,2,5
2025-11-14,PerseusDark,ScorpioSpear,5,1
2025-11-14,PerseusDark,ImpactDrake,1,5
2025-11-14,PerseusDark,TuskMammoth,1,5
2025-11-14,PerseusDark,UnicornSting,2,5
2025-11-14,PerseusDark,BlackShell,5,1
2025-11-14,PerseusDark,DranSword,4,5
2025-11-14,PerseusDark,WizardArrow,4,5
2025-11-14,PerseusDark,DranBrave,4,5
2025-11-14,PerseusDark,WeissTiger,1,5
