Date,BeyA,BeyB,ScoreA,ScoreB
2025-11-14,TuskMammoth,CrimsonGaruda,1,5
2025-11-14,CobaltDragoon,LeonClaw,5,3
2025-11-14,WizardArc,TyrannoBeat,5,4
2025-11-14,GolemRock,PhoenixRudder,3,5
2025-11-14,WhaleWave,PegasusBlast,2,5
2025-11-14,ViperTail,PerseusDark,5,2
2025-11-14,KeelShark,WizardArrow,5,3
2025-11-14,WizardRod,DranSword,0,5
2025-11-14,WeissTiger,ImpactDrake,3,5
2025-11-14,HellsChain,FoxBrush,5,2
2025-11-14,LeonCrest,SilverWolf,2,5
2025-11-14,KnightMail,HellsReaper,5,3
2025-11-14,BlackShell,DranBrave,5,3
2025-11-14,SamuraiSaber,CerberusFlame,2,5
2025-11-14,DranDagger,UnicornSting,5,2
2025-11-14,PhoenixWing,WhaleFlame,2,5
2025-11-14,HellsHammer,DranBuster,2,5
2025-11-14,RhinoReaper,ScorpioSpear,2,5
2025-11-15,CrimsonGaruda,CobaltDragoon,1,5
2025-11-15,WizardArc,PhoenixRudder,5,4
2025-11-15,PegasusBlast,ViperTail,5,4
2025-11-15,KeelShark,DranSword,5,2
2025-11-15,ImpactDrake,HellsChain,5,1
2025-11-15,SilverWolf,KnightMail,5,3
2025-11-15,BlackShell,CerberusFlame,2,5
2025-11-15,DranDagger,WhaleFlame,2,5
2025-11-15,DranBuster,ScorpioSpear,5,3
2025-11-16,WizardArc,PegasusBlast,3,5
2025-11-16,KeelShark,ImpactDrake,2,5
2025-11-16,SilverWolf,CerberusFlame,4,5
2025-11-16,WhaleFlame,DranBuster,4,5
2025-11-17,PegasusBlast,ImpactDrake,5,3
2025-11-17,CerberusFlame,DranBuster,4,5
2025-11-18,PegasusBlast,DranBuster,5,0
2025-11-19,CobaltDragoon,PegasusBlast,4,5
